file,version,size,date,decision,n,wr,avg_pnl,detail
full_sync_closure_20260619.json,?,5215,2026-06-19T12:59:58,,195,,,
production_closure_and_backtest_gap_audit_20260618.json,?,21128,2026-06-18 audit rerun,,172,88.95,3.9271,
smc_signal_engine_diff_audit.json,?,20107,,,,,,
v104_strict_reclaim_closure_20260618.json,104,15408,2026-06-19T10:13:02,不晋级：语义顺序已修正(entry_before_reclaim=0)，但全市场胜率/月度稳定性未达生产门禁；最佳简单ex-ante子集样本仅61笔且月度稳定不足。,487,54.62,0.4248,
v105_matrix_closure_20260618.json,105,5015,,唯一通过70%/稳定月的矩阵依赖0.6R微止盈+0.75倍收紧SL+13bar超时；TP_R<1且不是SMC结构目标，违反用户对结构TP/SL的硬偏好，不能作为生产晋级依据。TP_R>=1的候选为0。,82,43.9,-0.9867,
v106_market_env_gate_matrix_20260618.json,106,135144,,,150,68.0,2.0879,
v106_signal_layer_structure_gate_matrix_20260618.json,106,181185,,,203,62.07,1.2962,
v106_signal_market_closure_20260618.json,106,29087,,,487,54.62,0.4248,
v107_tradeable_regime_audit_20260619.json,107,33340,,RESEARCH_ONLY_NOT_PROMOTED,487,54.62,0.4248,
v107b_signal_semantic_audit_20260619.json,107b,50877,,RESEARCH_ONLY_NOT_PROMOTED,143,69.93,2.1987,
v109_closure_verification_20260619.json,109,9268,2026-06-19T18:04:28,RESEARCH_ONLY_NOT_PROMOTED,87,62.07,1.3004,
v110_range_transition_dedup_failure_audit_20260619.json,110,27476,,RESEARCH_ONLY_NOT_PROMOTED,65,63.08,1.3942,
v111_wait_structure_ontology_audit_20260619.json,111,18475,,RESEARCH_ONLY_NOT_PROMOTED,20,80.0,3.0172,
v112_range_transition_generator_audit_20260619.json,112,37002,,RESEARCH_ONLY_NOT_PROMOTED,238,50.84,-0.0612,
v113_mature_transition_loss_audit_20260619.json,113,9177,,RESEARCH_ONLY_NOT_PROMOTED,18,77.78,3.3114,
v114_fvg_demand_source_audit_20260619.json,114,24001,,RESEARCH_ONLY_NOT_PROMOTED,18,77.78,3.3114,
v115_fvg_source_label_fullsample_audit_20260619.json,115,243489,,RESEARCH_ONLY_NOT_PROMOTED,182,52.2,0.0899,
v116_source_quality_gate_simulation_20260619.json,116,150370,2026-06-19T19:34:04,RESEARCH_ONLY_GATE_DIRECTION_VALIDATED_NOT_PROMOTED,182,52.2,0.0899,
v117_source_gate_shadow_contract_audit_20260619.json,117,11257,2026-06-19T19:54:22,RESEARCH_ONLY_SHADOW_CONTRACT_BLOCKED_FIELD_PROPAGATION_REQUIRED,372,56.72,0.6533,
v231_daily_current_shadow_audit_latest.json,231,1190,2026-07-14T09:48:19,V231_NO_CURRENT_ACTIONABLE_ROWS__KEEP_SHADOW_MONITORING_NO_WRITE,,,,
v236_daily_current_shadow_audit_latest.json,236,1667,2026-07-14T09:48:37,V236_CURRENT_ACTIONABLE_ROWS_FOUND__SHADOW_ONLY_ENDPOINT_MAPPING_NEXT,,,,
v236_v235_independent_audit_current_smoke_latest.json,236,3160,2026-06-27T11:50:05,V236_HISTORICAL_PASS__NO_CURRENT_ACTIONABLE_OR_GATE_FAIL,521,91.7466,7.0991,
v237_post_v236_loss_and_scalar_closure_latest.json,237,10802,2026-06-29T10:18:17,V237_SCALAR_PAIR_PRUNING_CLOSED__NO_POST_V236_PRODUCTION_GATE_PASS,558,92.2939,7.2448,
v243_v239_exit_replay_latest.json,243,1487,2026-07-01T09:29:02,V243_EXIT_REPLAY_NO_PRODUCTION_PASS__FAILURE_IS_SIGNAL_YEAR_FLOOR_NOT_EXIT_PARAMETERS,565,93.0973,7.6021,
v246_daily_current_shadow_audit_latest.json,246,1430,2026-07-14T09:49:46,V246_NO_CURRENT_ACTIONABLE_ROWS__KEEP_SHADOW_MONITORING_NO_WRITE,,,,
v248_v246_independent_audit_latest.json,248,5340,2026-07-01T17:29:19,V248_V246_HISTORICAL_GATE_PASS_WITH_LOCAL_STABILITY_RISK__NO_WRITE__CURRENT_SCANNER_STILL_REQUIRED,573,94.4154,7.6022,
v251_research_direction_closure_latest.json,251,8898,2026-07-01T21:18:10,V251_CLOSE_FILTER_RESEARCH__DO_NOT_PROMOTE_V246_YET__NEXT_STEP_MUST_BE_NEW_SUPPLY_OR_EXECUTION_MECHANISM_NOT_MORE_LOCAL_FILTERING,573,94.4154,7.6022,
v253_bear_demand_replay_exit_probe_latest.json,253,10563,2026-07-01T21:29:57,V253_REPLAY_EXIT_NOT_USEFUL__DO_NOT_CONTINUE_LOCAL_EXIT_ONLY,573,94.4154,7.6022,
v260_v259_independent_audit_current_smoke_latest.json,260,5180,2026-07-02T09:35:05,,41,90.2439,8.2958,
