symbol,entry_date,src,net_pnl_pct,rank
002102.SZ,20230907,EVENT,6.7205,3
300687.SZ,20230908,EVENT,0.7935,5
603986.SH,20230914,EVENT,3.0049,4
688381.SH,20230913,EVENT,-1.7367,3
603986.SH,20230921,EVENT,1.4738,3
603986.SH,20230920,EVENT,0.0164,4
603551.SH,20230928,EVENT,0.1252,3
301308.SZ,20231009,EVENT,8.5445,4
000935.SZ,20231026,EVENT,4.42,5
000651.SZ,20231030,EVENT,-3.4289,3
601600.SH,20231030,EVENT,-4.0017,3
601600.SH,20231027,EVENT,1.5018,4
300232.SZ,20231101,EVENT,3.8346,5
000651.SZ,20231101,EVENT,-3.2217,3
002102.SZ,20231109,EVENT,-0.0,4
603776.SH,20231109,EVENT,3.0971,3
600636.SH,20231109,EVENT,0.3615,5
301120.SZ,20231114,EVENT,0.6437,3
688005.SH,20231114,EVENT,-4.1777,4
300138.SZ,20231103,EVENT,1.0292,5
301288.SZ,20231115,EVENT,-5.6693,4
301231.SZ,20231117,EVENT,-0.1218,5
300618.SZ,20231117,EVENT,0.22,3
301030.SZ,20231117,EVENT,-7.4529,5
301060.SZ,20231117,EVENT,2.2764,3
001227.SZ,20231117,EVENT,0.8549,3
002959.SZ,20231117,EVENT,1.6194,4
002271.SZ,20231117,EVENT,3.1141,3
002240.SZ,20231117,EVENT,-4.4796,1
603588.SH,20231117,EVENT,-1.684,2
603351.SH,20231117,EVENT,1.926,1
301120.SZ,20231121,EVENT,-7.3025,3
002120.SZ,20231121,EVENT,-0.9323,4
300138.SZ,20231122,EVENT,0.1235,3
301103.SZ,20231122,EVENT,-3.988,3
300232.SZ,20231122,EVENT,-5.917,3
601615.SH,20231122,EVENT,-9.9851,2
688202.SH,20231122,EVENT,-1.0807,1
600585.SH,20231122,EVENT,-2.6772,4
001323.SZ,20231128,EVENT,-1.5831,3
301288.SZ,20231120,EVENT,-4.9062,3
300778.SZ,20231120,EVENT,2.1949,3
300138.SZ,20231120,EVENT,0.4494,2
600177.SH,20231120,EVENT,-4.0052,4
600052.SH,20231120,EVENT,0.2237,4
002092.SZ,20231120,EVENT,0.2955,4
600547.SH,20231120,EVENT,5.9029,4
002956.SZ,20231120,EVENT,0.0209,2
600739.SH,20231120,EVENT,-0.1757,4
601985.SH,20231120,EVENT,-0.0847,2
601766.SH,20231120,EVENT,-3.2437,2
605098.SH,20231120,EVENT,0.1919,3
002605.SZ,20231120,EVENT,1.3693,4
600061.SH,20231120,EVENT,0.2834,4
001330.SZ,20231120,EVENT,3.1071,3
603587.SH,20231120,EVENT,-3.0638,2
600663.SH,20231120,EVENT,3.4865,2
600919.SH,20231120,EVENT,-1.5493,3
600295.SH,20231120,EVENT,4.0776,2
002285.SZ,20231120,EVENT,-4.9753,3
300232.SZ,20231127,EVENT,-3.5106,2
002279.SZ,20231127,EVENT,-1.0403,3
001267.SZ,20231127,EVENT,-3.3621,3
000598.SZ,20231123,EVENT,2.1423,2
002517.SZ,20231123,EVENT,3.7498,4
603551.SH,20231123,EVENT,0.1889,2
601388.SH,20231123,EVENT,-3.0306,2
301179.SZ,20231123,EVENT,-3.2457,3
688211.SH,20231123,EVENT,0.1783,2
300769.SZ,20231205,EVENT,16.0526,4
301195.SZ,20231124,EVENT,-6.2991,2
301029.SZ,20231124,EVENT,-2.5842,2
603081.SH,20231124,EVENT,-4.5913,3
002126.SZ,20231124,EVENT,-5.0777,4
601678.SH,20231124,EVENT,-3.1623,2
002472.SZ,20231124,EVENT,-3.8298,2
605196.SH,20231124,EVENT,0.1263,3
300947.SZ,20231129,EVENT,-1.5171,3
300631.SZ,20231129,EVENT,-2.6372,3
002493.SZ,20231129,EVENT,0.9633,2
601827.SH,20231129,EVENT,-1.9432,3
601615.SH,20231129,EVENT,-6.1299,3
002408.SZ,20231129,EVENT,-0.4643,3
601016.SH,20231129,EVENT,0.189,3
002142.SZ,20231204,EVENT,7.3282,4
688073.SH,20231204,EVENT,-4.1937,2
002518.SZ,20231204,EVENT,7.815,3
605020.SH,20231204,EVENT,-3.5013,3
000889.SZ,20231204,EVENT,-1.8053,3
603212.SH,20231204,EVENT,3.7025,2
605399.SH,20231204,EVENT,1.9308,3
600637.SH,20231201,EVENT,0.8638,2
603566.SH,20231201,EVENT,4.7366,2
002946.SZ,20231130,EVENT,-1.1956,3
002085.SZ,20231130,EVENT,-7.6496,2
002966.SZ,20231130,EVENT,-0.3912,4
002396.SZ,20231130,EVENT,1.3159,2
002240.SZ,20231130,EVENT,3.3723,3
000422.SZ,20231130,EVENT,2.6212,3
001231.SZ,20231130,EVENT,-2.8689,2
300124.SZ,20231212,EVENT,-1.4536,3
300982.SZ,20231212,EVENT,5.2113,3
300993.SZ,20231212,EVENT,5.4784,2
301382.SZ,20231212,EVENT,-6.6725,3
605303.SH,20231212,EVENT,0.7588,2
688184.SH,20231212,EVENT,1.3242,4
688035.SH,20231212,EVENT,-2.4484,1
002625.SZ,20231212,EVENT,-4.2642,5
002208.SZ,20231212,EVENT,0.26,4
002709.SZ,20231212,EVENT,13.2028,3
300943.SZ,20231212,EVENT,1.7855,5
000779.SZ,20231212,EVENT,1.7881,4
002560.SZ,20231212,EVENT,1.1835,3
002254.SZ,20231212,EVENT,-4.2579,6
002724.SZ,20231212,EVENT,-0.4987,3
300014.SZ,20231212,EVENT,6.5344,3
300481.SZ,20231212,EVENT,0.4397,3
601717.SH,20231212,EVENT,0.6786,4
688090.SH,20231212,EVENT,1.2557,3
688290.SH,20231212,EVENT,11.1036,3
688420.SH,20231212,EVENT,1.2379,3
603901.SH,20231206,EVENT,1.9906,3
300390.SZ,20231206,EVENT,7.0408,3
002408.SZ,20231206,EVENT,5.7421,3
300769.SZ,20231211,EVENT,12.386,5
300618.SZ,20231211,EVENT,1.7968,4
301103.SZ,20231211,EVENT,3.9267,3
601668.SH,20231211,EVENT,2.3647,4
000656.SZ,20231211,EVENT,14.4294,4
000404.SZ,20231211,EVENT,1.5377,1
002271.SZ,20231211,EVENT,10.9197,2
603051.SH,20231211,EVENT,2.6551,4
002594.SZ,20231207,EVENT,17.0628,4
000921.SZ,20231207,EVENT,3.402,3
002074.SZ,20231207,EVENT,-4.1079,5
600143.SH,20231207,EVENT,0.617,3
301168.SZ,20231207,EVENT,-3.3677,4
001289.SZ,20231207,EVENT,-1.0482,1
000886.SZ,20231207,EVENT,0.5163,3
002283.SZ,20231207,EVENT,2.384,3
600588.SH,20231207,EVENT,7.2105,3
688089.SH,20231207,EVENT,4.0828,3
688400.SH,20231207,EVENT,9.6553,3
601678.SH,20231207,EVENT,0.2917,3
601003.SH,20231207,EVENT,-1.0352,3
002876.SZ,20231208,EVENT,-0.2046,1
002120.SZ,20231208,EVENT,8.709,3
002606.SZ,20231208,EVENT,-2.3054,2
002857.SZ,20231208,EVENT,0.047,2
000555.SZ,20231208,EVENT,-2.1048,1
002102.SZ,20231208,EVENT,-1.7898,3
605399.SH,20231208,EVENT,4.8692,3
300666.SZ,20231219,EVENT,0.0973,5
300771.SZ,20231214,EVENT,-2.5266,4
300203.SZ,20231214,EVENT,3.6855,1
300080.SZ,20231214,EVENT,2.8243,3
300618.SZ,20231214,EVENT,7.3721,2
000703.SZ,20231214,EVENT,3.3861,3
600266.SH,20231214,EVENT,-2.766,4
002446.SZ,20231214,EVENT,4.5606,3
600048.SH,20231214,EVENT,5.8553,4
001267.SZ,20231214,EVENT,1.1212,2
600703.SH,20231214,EVENT,-4.6682,3
300046.SZ,20231214,EVENT,1.8411,3
301023.SZ,20231213,EVENT,0.9607,4
300806.SZ,20231213,EVENT,5.1404,4
300943.SZ,20231213,EVENT,1.3289,3
001301.SZ,20231213,EVENT,12.2343,5
002340.SZ,20231213,EVENT,5.8309,3
301300.SZ,20231213,EVENT,0.79,1
002637.SZ,20231213,EVENT,-2.588,3
600048.SH,20231213,EVENT,3.7095,5
603156.SH,20231213,EVENT,7.336,6
688565.SH,20231213,EVENT,1.1265,2
600967.SH,20231213,EVENT,0.7236,2
000927.SZ,20231213,EVENT,-2.4592,2
600703.SH,20231213,EVENT,-2.7838,3
300687.SZ,20231213,EVENT,-6.5774,3
688489.SH,20231213,EVENT,-11.8173,1
600704.SH,20231213,EVENT,-2.5863,3
603688.SH,20231218,EVENT,16.7004,7
000568.SZ,20231218,EVENT,18.752,7
000725.SZ,20231218,EVENT,4.3789,3
002985.SZ,20231218,EVENT,-6.6077,3
600048.SH,20231218,EVENT,-9.4658,4
688035.SH,20231218,EVENT,2.5566,3
300021.SZ,20231218,EVENT,-2.3562,3
002946.SZ,20231218,EVENT,11.1217,2
301115.SZ,20231218,EVENT,-1.9025,4
600703.SH,20231218,EVENT,-2.4397,4
605399.SH,20231218,EVENT,9.2173,4
600522.SH,20231218,EVENT,3.5718,4
002568.SZ,20231218,EVENT,-1.6518,3
002985.SZ,20231215,EVENT,3.1165,3
300450.SZ,20231215,EVENT,9.6226,3
000858.SZ,20231215,EVENT,13.9096,5
002410.SZ,20231215,EVENT,12.942,5
688275.SH,20231215,EVENT,-0.0907,2
688187.SH,20231215,EVENT,-0.8731,3
002568.SZ,20231215,EVENT,6.7709,4
600048.SH,20231215,EVENT,4.6344,4
600219.SH,20231215,EVENT,-2.2899,4
002073.SZ,20231215,EVENT,1.0561,3
600522.SH,20231215,EVENT,1.2587,3
300397.SZ,20231226,EVENT,1.4894,2
301115.SZ,20231226,EVENT,1.1652,4
300252.SZ,20231226,EVENT,2.2523,2
000422.SZ,20231226,EVENT,11.5467,6
300358.SZ,20231226,EVENT,2.5595,4
600293.SH,20231226,EVENT,2.7136,6
002555.SZ,20231226,EVENT,15.2913,4
001212.SZ,20231226,EVENT,0.1602,4
300993.SZ,20231222,EVENT,-1.9224,4
301382.SZ,20231222,EVENT,-1.3782,4
301305.SZ,20231222,EVENT,-1.8006,5
002261.SZ,20231222,EVENT,3.3464,3
300888.SZ,20231222,EVENT,-1.3861,3
002560.SZ,20231222,EVENT,0.328,3
688018.SH,20231222,EVENT,0.4883,2
002857.SZ,20231222,EVENT,-1.8939,3
603267.SH,20231222,EVENT,4.5852,5
688189.SH,20231222,EVENT,3.613,3
600549.SH,20231222,EVENT,1.9015,3
000411.SZ,20231222,EVENT,0.4871,2
688087.SH,20231222,EVENT,-3.8833,4
603889.SH,20231222,EVENT,-3.9628,8
603737.SH,20231222,EVENT,0.1573,2
603713.SH,20231222,EVENT,1.984,5
688258.SH,20231222,EVENT,7.3014,4
300943.SZ,20231221,EVENT,-2.8374,3
000589.SZ,20231221,EVENT,2.1598,4
000404.SZ,20231221,EVENT,0.0406,1
002029.SZ,20231221,EVENT,1.337,3
000513.SZ,20231221,EVENT,0.0083,4
