layer,kind,dir,idx,date,break_price,pivot_idx,pivot_date,pivot_price,pivot_label,old_trend,new_trend,mss
ob,OB,bear,10,20230428,,6,20230424,1549.668,L,,BOS,
swing,BOS,bear,21,20230518,1539.668,6,20230424,1549.668,L,unknown,bearish,False
ob,OB,bear,24,20230523,,22,20230519,1504.218,LL,,BOS,
swing,BOS,bear,30,20230531,1477.568,22,20230519,1504.218,LL,bearish,bearish,False
ob,OB,bull,31,20230601,,24,20230523,1602.668,LH,,CHOCH,
internal,MSS_CAND,bull,38,20230612,1544.668,34,20230606,1532.668,LH,bearish,bullish,True
swing,CHOCH,bull,41,20230615,1603.668,24,20230523,1602.668,LH,bearish,bullish,True
ob,OB,bull,55,20230707,,52,20230704,1609.019,LH,,BOS,
swing,BOS,bull,59,20230713,1612.979,52,20230704,1609.019,LH,bullish,bullish,False
ob,OB,bear,111,20230925,,106,20230918,1647.579,HL,,CHOCH,
swing,CHOCH,bear,116,20231010,1644.579,106,20230918,1647.579,HL,bullish,bearish,False
ob,OB,bear,146,20231121,,145,20231120,1611.239,HL,,BOS,
swing,BOS,bear,156,20231205,1583.579,145,20231120,1611.239,HL,bearish,bearish,False
ob,OB,bear,174,20231229,,165,20231218,1509.579,LL,,BOS,
swing,BOS,bear,186,20240117,1470.685,165,20231218,1509.579,LL,bearish,bearish,False
internal,MSS_CAND,bull,194,20240129,1543.685,189,20240122,1536.685,LH,bearish,bullish,True
ob,OB,bull,198,20240202,,194,20240129,1554.265,LH,,CHOCH,
swing,CHOCH,bull,200,20240206,1569.685,194,20240129,1554.265,LH,bearish,bullish,True
ob,OB,bull,204,20240220,,203,20240219,1631.615,HH,,BOS,
swing,BOS,bull,219,20240312,1638.685,203,20240219,1631.615,HH,bullish,bullish,False
ob,OB,bear,235,20240403,,228,20240325,1574.265,HL,,CHOCH,
swing,CHOCH,bear,236,20240408,1560.345,228,20240325,1574.265,HL,bullish,bearish,False
ob,OB,bull,240,20240412,,235,20240403,1633.125,LH,,CHOCH,
internal,MSS_CAND,bull,253,20240506,1653.885,235,20240403,1633.125,LH,bearish,bullish,True
swing,CHOCH,bull,253,20240506,1653.885,235,20240403,1633.125,LH,bearish,bullish,True
ob,OB,bear,263,20240520,,261,20240516,1583.685,HL,,CHOCH,
swing,CHOCH,bear,267,20240524,1570.765,261,20240516,1583.685,HL,bullish,bearish,False
ob,OB,bull,298,20240709,,294,20240703,1437.571,LH,,CHOCH,
swing,CHOCH,bull,306,20240719,1450.181,294,20240703,1437.571,LH,bearish,bullish,False
ob,OB,bear,307,20240722,,298,20240709,1334.661,LL,,CHOCH,
internal,MSS_CAND,bear,312,20240729,1322.581,298,20240709,1334.661,LL,bullish,bearish,True
swing,CHOCH,bear,312,20240729,1322.581,298,20240709,1334.661,LL,bullish,bearish,True
ob,OB,bear,337,20240902,,334,20240828,1299.561,HL,,BOS,
swing,BOS,bear,345,20240912,1259.621,334,20240828,1299.561,HL,bearish,bearish,False
