symbol,side,pool_price,sweep_date,signal_date,entry_price,ret_10b_signed
000020.SZ,EQH,16.06,20260420,20260429,15.93,15.32
000068.SZ,EQH,3.35,20260908,20260909,3.31,1.81
000100.SZ,EQL,4.08,20260515,20260518,4.13,4.36
000338.SZ,EQH,35.37,20260527,20260529,34.97,20.99
000534.SZ,EQH,33.2,20260706,20260707,31.54,20.74
000559.SZ,EQH,18.38,20260518,20260519,18.12,17.6
000571.SZ,EQL,5.15,20260511,20260512,5.15,11.26
000589.SZ,EQH,5.12,20260225,20260227,5.11,4.11
000590.SZ,EQH,12.68,20260224,20260225,12.37,1.13
000631.SZ,EQH,3.52,20260528,20260529,3.46,3.47
000651.SZ,EQL,36.68,20260618,20260622,36.99,5.43
000695.SZ,EQL,11.65,20260714,20260715,11.79,10.18
000701.SZ,EQL,4.3,20260721,20260722,4.34,13.36
000707.SZ,EQH,6.27,20260422,20260424,6.16,5.52
000719.SZ,EQH,12.94,20260730,20260803,12.93,5.88
000752.SZ,EQH,12.62,20251202,20251203,12.15,13.5
000761.SZ,EQH,2.46,20260909,20260910,2.44,9.43
000768.SZ,EQL,19.53,20260714,20260715,19.83,5.8
000826.SZ,EQH,2.01,20260825,20260826,1.96,5.61
000852.SZ,EQH,7.38,20260507,20260511,7.31,14.23
