symbol,entry_date,src,net_pnl_pct,pnl,structure_state,trend_v2,breakout_kind_v2,retrace_state_v2
688381.SH,20230913,EVENT,-3.1863,-3.1863,bear(LH+LL),down,BOS↓,no_retrace
301308.SZ,20231009,EVENT,8.3273,8.3273,bull(HH+HL),up,CHoCH↑,retrace_fail
000651.SZ,20231030,EVENT,-3.6222,-3.6222,compress(LH+HL),down,BOS↓,retrace_ok
300138.SZ,20231103,EVENT,0.7548,0.7548,bear(LH+LL),down,BOS↓,retrace_ok
000651.SZ,20231109,EVENT,-2.8346,-2.8346,bear(LH+LL),down,BOS↓,retrace_ok
000651.SZ,20231101,EVENT,-3.4155,-3.4155,bear(LH+LL),down,BOS↓,retrace_ok
603808.SH,20231221,EVENT,-7.1322,-7.1322,expansion(HH+LL),down,BOS↓,retrace_fail
601975.SH,20231226,EVENT,6.2067,6.2067,bear(LH+LL),down,BOS↓,retrace_fail
001323.SZ,20231228,EVENT,-1.9246,-1.9246,compress(LH+HL),down,BOS↓,retrace_ok
600872.SH,20231229,EVENT,-2.275,-2.275,expansion(HH+LL),down,BOS↓,no_retrace
603688.SH,20231229,EVENT,1.9342,1.9342,expansion(HH+LL),down,BOS↓,retrace_ok
000703.SZ,20231220,EVENT,0.3681,0.3681,expansion(HH+LL),up,CHoCH↑,retrace_fail
002978.SZ,20231220,EVENT,-0.9853,-0.9853,bear(LH+LL),up,CHoCH↑,retrace_fail
300993.SZ,20231222,EVENT,-2.1188,-2.1188,compress(LH+HL),down,CHoCH↓,no_retrace
688420.SH,20231229,EVENT,-2.5085,-2.5085,compress(LH+HL),down,BOS↓,retrace_ok
600219.SH,20231215,EVENT,-2.4856,-2.4856,bear(LH+LL),down,BOS↓,retrace_ok
002985.SZ,20231218,EVENT,-0.2539,-0.2539,bear(LH+LL),down,CHoCH↓,no_retrace
301115.SZ,20231218,EVENT,-2.0989,-2.0989,expansion(HH+LL),down,CHoCH↓,retrace_ok
002568.SZ,20231220,EVENT,-1.8283,-1.8283,bear(LH+LL),down,BOS↓,retrace_ok
301305.SZ,20231220,EVENT,-1.9595,-1.9595,bear(LH+LL),down,BOS↓,retrace_ok
603267.SH,20231228,EVENT,-5.1197,-5.1197,bear(LH+LL),down,CHoCH↓,retrace_ok
603507.SH,20231229,EVENT,-1.3586,-1.3586,bear(LH+LL),down,BOS↓,retrace_ok
605303.SH,20231212,EVENT,0.5571,0.5571,bull(HH+HL),down,CHoCH↓,retrace_ok
000651.SZ,20231215,EVENT,-0.5799,-0.5799,compress(LH+HL),down,BOS↓,retrace_fail
002568.SZ,20231218,EVENT,-1.8487,-1.8487,bear(LH+LL),down,CHoCH↓,retrace_ok
600703.SH,20231218,EVENT,-2.635,-2.635,bear(LH+LL),down,BOS↓,retrace_ok
002625.SZ,20231220,EVENT,2.1291,2.1291,bull(HH+HL),up,CHoCH↑,retrace_fail
301115.SZ,20231220,EVENT,-1.8339,-1.8339,expansion(HH+LL),down,CHoCH↓,retrace_ok
300943.SZ,20231221,EVENT,-3.032,-3.032,bear(LH+LL),down,CHoCH↓,retrace_ok
600313.SH,20231221,EVENT,-3.5146,-3.5146,bull(HH+HL),down,CHoCH↓,retrace_ok
002857.SZ,20231222,EVENT,-2.1348,-2.1348,bull(HH+HL),down,BOS↓,retrace_ok
600382.SH,20231227,EVENT,5.9081,5.9081,bear(LH+LL),up,CHoCH↑,retrace_fail
000950.SZ,20231229,EVENT,-3.9641,-3.9641,bull(HH+HL),down,BOS↓,retrace_ok
300993.SZ,20231229,EVENT,2.4363,2.4363,compress(LH+HL),down,CHoCH↓,no_retrace
688013.SH,20231229,EVENT,1.166,1.166,expansion(HH+LL),down,CHoCH↓,retrace_fail
000526_SZ.SZ,20231208,CONT,12.2571,12.2571,bull(HH+HL),up,BOS↑,no_retrace
600971_SH.SH,20231212,CONT,-4.3082,-4.3082,expansion(HH+LL),up,BOS↑,retrace_ok
000404.SZ,20231220,EVENT,-2.6398,-2.6398,bull(HH+HL),up,BOS↑,retrace_fail
000975.SZ,20231220,EVENT,6.2535,6.2535,bull(HH+HL),up,CHoCH↑,retrace_ok
300068.SZ,20231228,EVENT,9.45,9.45,expansion(HH+LL),down,CHoCH↓,retrace_ok
301367.SZ,20231229,EVENT,-1.2232,-1.2232,expansion(HH+LL),up,BOS↑,retrace_fail
000921.SZ,20240110,EVENT,4.2581,4.2581,bear(LH+LL),down,BOS↓,retrace_fail
603515.SH,20240110,EVENT,3.7931,3.7931,bear(LH+LL),down,CHoCH↓,retrace_ok
002570.SZ,20240117,EVENT,-4.2752,-4.2752,bear(LH+LL),down,BOS↓,retrace_fail
301093.SZ,20240117,EVENT,-7.6494,-7.6494,bear(LH+LL),down,BOS↓,retrace_fail
301093.SZ,20240118,EVENT,-8.6933,-8.6933,compress(LH+HL),down,CHoCH↓,retrace_ok
301093.SZ,20240119,EVENT,-9.3026,-9.3026,bear(LH+LL),down,CHoCH↓,retrace_ok
000818.SZ,20240126,EVENT,-2.9115,-2.9115,bear(LH+LL),down,BOS↓,retrace_fail
600718.SH,20240126,EVENT,-2.148,-2.148,bear(LH+LL),down,BOS↓,no_retrace
000498.SZ,20240129,EVENT,-0.6563,-0.6563,bear(LH+LL),down,BOS↓,retrace_fail
300656.SZ,20240131,EVENT,-7.8417,-7.8417,bear(LH+LL),down,BOS↓,no_retrace
301152.SZ,20240131,EVENT,-12.6218,-12.6218,bull(HH+HL),down,CHoCH↓,no_retrace
000589.SZ,20240110,EVENT,5.0452,5.0452,bear(LH+LL),down,BOS↓,retrace_ok
002959.SZ,20240110,EVENT,-1.442,-1.442,bear(LH+LL),up,CHoCH↑,retrace_ok
301267.SZ,20240116,EVENT,-6.0638,-6.0638,bear(LH+LL),down,BOS↓,retrace_ok
603612.SH,20240116,EVENT,-3.0797,-3.0797,bear(LH+LL),down,BOS↓,retrace_ok
002570.SZ,20240118,EVENT,-2.8139,-2.8139,bear(LH+LL),down,BOS↓,retrace_fail
603505.SH,20240125,EVENT,-4.2218,-4.2218,bear(LH+LL),down,BOS↓,retrace_fail
301093.SZ,20240126,EVENT,-4.1244,-4.1244,bear(LH+LL),down,BOS↓,retrace_fail
600718.SH,20240129,EVENT,-13.0675,-13.0675,bull(HH+HL),down,BOS↓,no_retrace
601969.SH,20240129,EVENT,-9.8095,-9.8095,bear(LH+LL),down,BOS↓,retrace_fail
603060.SH,20240129,EVENT,-3.5138,-3.5138,bear(LH+LL),down,BOS↓,retrace_fail
300200.SZ,20240131,EVENT,-10.0206,-10.0206,bear(LH+LL),down,BOS↓,retrace_ok
301087.SZ,20240131,EVENT,-6.5368,-6.5368,bear(LH+LL),down,BOS↓,retrace_ok
688018.SH,20240131,EVENT,-5.3678,-5.3678,bear(LH+LL),down,BOS↓,no_retrace
002624.SZ,20240102,EVENT,-13.8728,-13.8728,expansion(HH+LL),down,CHoCH↓,no_retrace
603515.SH,20240102,EVENT,-5.0602,-5.0602,bear(LH+LL),down,CHoCH↓,retrace_ok
300993.SZ,20240103,EVENT,0.0017,0.0017,compress(LH+HL),down,CHoCH↓,no_retrace
688171.SH,20240105,EVENT,-6.4065,-6.4065,expansion(HH+LL),down,CHoCH↓,retrace_ok
002004.SZ,20240110,EVENT,-2.3178,-2.3178,compress(LH+HL),down,BOS↓,retrace_ok
600219.SH,20240110,EVENT,-11.9983,-11.9983,compress(LH+HL),down,BOS↓,retrace_fail
688013.SH,20240110,EVENT,-6.5313,-6.5313,expansion(HH+LL),down,CHoCH↓,retrace_fail
002624.SZ,20240111,EVENT,-3.8074,-3.8074,bear(LH+LL),down,CHoCH↓,retrace_ok
