symbol,entry_date,src,net_pnl_pct,eq_near_active,eqh_active_n,eql_active_n,eq_conflu
688381.SH,20230913,EVENT,-3.1863,False,0,0,False
301308.SZ,20231009,EVENT,8.3273,False,0,0,False
000651.SZ,20231030,EVENT,-3.6222,False,0,0,False
300138.SZ,20231103,EVENT,0.7548,False,0,0,False
000651.SZ,20231109,EVENT,-2.8346,False,0,0,False
000651.SZ,20231101,EVENT,-3.4155,False,0,0,False
603808.SH,20231221,EVENT,-7.1322,False,0,0,False
601975.SH,20231226,EVENT,6.2067,False,0,0,False
001323.SZ,20231228,EVENT,-1.9246,False,0,0,False
600872.SH,20231229,EVENT,-2.275,False,0,0,False
603688.SH,20231229,EVENT,1.9342,False,0,0,False
000703.SZ,20231220,EVENT,0.3681,False,0,0,False
002978.SZ,20231220,EVENT,-0.9853,False,0,0,False
300993.SZ,20231222,EVENT,-2.1188,False,0,0,False
688420.SH,20231229,EVENT,-2.5085,False,0,0,False
600219.SH,20231215,EVENT,-2.4856,False,0,0,False
002985.SZ,20231218,EVENT,-0.2539,False,0,0,False
301115.SZ,20231218,EVENT,-2.0989,False,0,0,False
002568.SZ,20231220,EVENT,-1.8283,False,0,0,False
301305.SZ,20231220,EVENT,-1.9595,True,0,1,False
603267.SH,20231228,EVENT,-5.1197,False,0,0,False
603507.SH,20231229,EVENT,-1.3586,False,0,0,False
605303.SH,20231212,EVENT,0.5571,False,0,0,False
000651.SZ,20231215,EVENT,-0.5799,False,0,0,False
002568.SZ,20231218,EVENT,-1.8487,False,0,0,False
600703.SH,20231218,EVENT,-2.635,False,0,0,False
002625.SZ,20231220,EVENT,2.1291,False,0,0,False
301115.SZ,20231220,EVENT,-1.8339,False,0,0,False
300943.SZ,20231221,EVENT,-3.032,False,0,0,False
600313.SH,20231221,EVENT,-3.5146,False,0,0,False
002857.SZ,20231222,EVENT,-2.1348,False,0,0,False
600382.SH,20231227,EVENT,5.9081,True,0,1,False
000950.SZ,20231229,EVENT,-3.9641,False,0,0,False
300993.SZ,20231229,EVENT,2.4363,False,0,0,False
688013.SH,20231229,EVENT,1.166,False,0,0,False
000526_SZ.SZ,20231208,CONT,12.2571,,,,
600971_SH.SH,20231212,CONT,-4.3082,,,,
000404.SZ,20231220,EVENT,-2.6398,False,0,0,False
000975.SZ,20231220,EVENT,6.2535,False,0,0,False
300068.SZ,20231228,EVENT,9.45,False,0,0,False
301367.SZ,20231229,EVENT,-1.2232,False,0,0,False
000921.SZ,20240110,EVENT,4.2581,False,0,0,False
603515.SH,20240110,EVENT,3.7931,False,0,0,False
002570.SZ,20240117,EVENT,-4.2752,False,0,0,False
301093.SZ,20240117,EVENT,-7.6494,False,0,0,False
301093.SZ,20240118,EVENT,-8.6933,False,0,0,False
301093.SZ,20240119,EVENT,-9.3026,False,0,0,False
000818.SZ,20240126,EVENT,-2.9115,False,0,0,False
600718.SH,20240126,EVENT,-2.148,False,0,0,False
000498.SZ,20240129,EVENT,-0.6563,False,0,0,False
300656.SZ,20240131,EVENT,-7.8417,False,0,0,False
301152.SZ,20240131,EVENT,-12.6218,False,0,0,False
000589.SZ,20240110,EVENT,5.0452,False,0,0,False
002959.SZ,20240110,EVENT,-1.442,False,0,0,False
301267.SZ,20240116,EVENT,-6.0638,False,0,0,False
603612.SH,20240116,EVENT,-3.0797,False,0,0,False
002570.SZ,20240118,EVENT,-2.8139,False,0,0,False
603505.SH,20240125,EVENT,-4.2218,False,0,0,False
301093.SZ,20240126,EVENT,-4.1244,False,0,0,False
600718.SH,20240129,EVENT,-13.0675,False,0,0,False
601969.SH,20240129,EVENT,-9.8095,False,0,0,False
603060.SH,20240129,EVENT,-3.5138,False,0,0,False
300200.SZ,20240131,EVENT,-10.0206,False,0,0,False
301087.SZ,20240131,EVENT,-6.5368,False,0,0,False
688018.SH,20240131,EVENT,-5.3678,False,0,0,False
002624.SZ,20240102,EVENT,-13.8728,False,0,0,False
603515.SH,20240102,EVENT,-5.0602,False,0,0,False
300993.SZ,20240103,EVENT,0.0017,False,0,0,False
688171.SH,20240105,EVENT,-6.4065,False,0,0,False
002004.SZ,20240110,EVENT,-2.3178,False,0,0,False
600219.SH,20240110,EVENT,-11.9983,False,0,0,False
688013.SH,20240110,EVENT,-6.5313,False,0,0,False
002624.SZ,20240111,EVENT,-3.8074,False,0,0,False
002930.SZ,20240111,EVENT,-1.9575,False,0,0,False
600351.SH,20240111,EVENT,-1.2309,False,0,0,False
688093.SH,20240111,EVENT,-2.3891,False,0,0,False
600703.SH,20240112,EVENT,-1.6597,False,0,0,False
688257.SH,20240112,EVENT,-4.8923,False,0,0,False
600487.SH,20240117,EVENT,-4.2931,False,0,0,False
603822.SH,20240117,EVENT,-2.1077,True,0,1,False
603882.SH,20240126,EVENT,12.6687,False,0,0,False
002859.SZ,20240129,EVENT,-3.7899,False,0,0,False
300148.SZ,20240129,EVENT,-5.783,False,0,0,False
603727.SH,20240129,EVENT,-3.8327,False,0,0,False
301265.SZ,20240130,EVENT,-6.9422,False,0,0,False
001256.SZ,20240131,EVENT,-6.6015,False,0,0,False
002148.SZ,20240131,EVENT,-6.3099,False,0,0,False
600572.SH,20240131,EVENT,-8.8383,False,0,0,False
300515.SZ,20240102,EVENT,-0.5667,False,0,0,False
688093.SH,20240102,EVENT,-8.0492,False,0,0,False
300097.SZ,20240104,EVENT,-8.4106,False,0,0,False
603156.SH,20240104,EVENT,7.0665,False,0,0,False
688093.SH,20240104,EVENT,-9.5995,False,0,0,False
002385.SZ,20240105,EVENT,-2.2659,False,0,0,False
600433.SH,20240105,EVENT,-6.5504,False,0,0,False
603156.SH,20240108,EVENT,0.9989,False,0,0,False
603258.SH,20240108,EVENT,-12.006,False,0,0,False
603888.SH,20240108,EVENT,-4.4324,False,0,0,False
300943.SZ,20240110,EVENT,0.5966,False,0,0,False
301201.SZ,20240110,EVENT,-0.4318,False,0,0,False
000498.SZ,20240115,EVENT,-1.1433,False,0,0,False
300699.SZ,20240115,EVENT,-15.5158,False,0,0,False
688326.SH,20240115,EVENT,-1.9777,False,0,0,False
688819.SH,20240117,EVENT,-6.869,False,0,0,False
002555.SZ,20240119,EVENT,-8.5328,False,0,0,False
600487.SH,20240122,EVENT,-4.3172,False,0,0,False
000661.SZ,20240124,EVENT,-2.0054,False,0,0,False
300126.SZ,20240130,EVENT,-8.2385,False,0,0,False
002166.SZ,20240131,EVENT,-4.6405,False,0,0,False
300888.SZ,20240131,EVENT,-10.8532,False,0,0,False
601600.SH,20240131,EVENT,-0.5276,False,0,0,False
688508.SH,20240131,EVENT,-4.3168,False,0,0,False
603977_SH.SH,20240109,CONT,-14.6161,,,,
002004.SZ,20240104,EVENT,-5.1924,False,0,0,False
000534.SZ,20240105,EVENT,-8.128,False,0,0,False
688420.SH,20240105,EVENT,-8.8198,False,0,0,False
688093.SH,20240109,EVENT,-4.5996,False,0,0,False
002555.SZ,20240117,EVENT,-5.8955,False,0,0,False
603727.SH,20240131,EVENT,-10.6743,False,0,0,False
002640.SZ,20240102,EVENT,-2.3567,False,0,0,False
600623.SH,20240110,EVENT,-0.8113,True,0,1,False
600803.SH,20240110,EVENT,2.4344,False,0,0,False
688349.SH,20240206,EVENT,0.5238,False,0,0,False
002093.SZ,20240219,EVENT,12.5788,False,0,0,False
300685.SZ,20240219,EVENT,5.3305,False,0,0,False
688068.SH,20240219,EVENT,2.7463,False,0,0,False
688237.SH,20240223,EVENT,4.4082,False,0,0,False
301353.SZ,20240227,EVENT,-2.5242,False,0,0,False
301225.SZ,20240228,EVENT,-0.4749,False,0,0,False
300835.SZ,20240201,EVENT,-3.4389,False,0,0,False
002266.SZ,20240207,EVENT,7.4661,False,0,0,False
300054.SZ,20240207,EVENT,9.4239,False,0,0,False
300171.SZ,20240207,EVENT,10.3431,False,0,0,False
300285.SZ,20240207,EVENT,1.6283,False,0,0,False
002008.SZ,20240208,EVENT,0.174,False,0,0,False
300910.SZ,20240208,EVENT,-1.6818,False,0,0,False
600109.SH,20240208,EVENT,0.1131,False,0,0,False
688596.SH,20240208,EVENT,13.8809,False,0,0,False
688646.SH,20240219,EVENT,5.7879,False,0,0,False
300143.SZ,20240220,EVENT,0.2419,False,0,0,False
001228.SZ,20240221,EVENT,9.0165,False,0,0,False
002885.SZ,20240221,EVENT,10.2801,False,0,0,False
301085.SZ,20240221,EVENT,19.1961,False,0,0,False
002093.SZ,20240222,EVENT,9.5353,False,0,0,False
603626.SH,20240222,EVENT,11.3687,False,0,0,False
002312.SZ,20240223,EVENT,-1.1487,False,0,0,False
003004.SZ,20240223,EVENT,20.2876,False,0,0,False
603111.SH,20240223,EVENT,12.6103,True,1,0,False
301366.SZ,20240226,EVENT,11.349,False,0,0,False
002520.SZ,20240228,EVENT,-6.5425,False,0,0,False
300100.SZ,20240228,EVENT,-0.2339,False,0,0,False
301072.SZ,20240228,EVENT,13.2575,False,0,0,False
002098.SZ,20240229,EVENT,9.9904,False,0,0,False
300597.SZ,20240229,EVENT,11.2254,False,0,0,False
301248.SZ,20240229,EVENT,18.5393,False,0,0,False
688244.SH,20240229,EVENT,5.8818,False,0,0,False
002180.SZ,20240202,EVENT,-4.6244,False,0,0,False
300702.SZ,20240202,EVENT,-4.5123,False,0,0,False
603990.SH,20240202,EVENT,-19.5712,False,0,0,False
688069.SH,20240202,EVENT,-12.4038,False,0,0,False
688606.SH,20240202,EVENT,-9.5947,True,0,1,False
000036.SZ,20240205,EVENT,-11.794,False,0,0,False
300128.SZ,20240205,EVENT,-13.5212,False,0,0,False
000869.SZ,20240207,EVENT,9.3268,False,0,0,False
002008.SZ,20240207,EVENT,8.8099,False,0,0,False
002532.SZ,20240207,EVENT,10.4622,False,0,0,False
002635.SZ,20240207,EVENT,11.1055,False,0,0,False
300128.SZ,20240207,EVENT,20.3522,False,0,0,False
300997.SZ,20240207,EVENT,21.5435,False,0,0,False
301071.SZ,20240207,EVENT,9.6276,False,0,0,False
600497.SH,20240207,EVENT,6.4053,False,0,0,False
600884.SH,20240207,EVENT,4.7077,False,0,0,False
601969.SH,20240207,EVENT,21.2073,False,0,0,False
688739.SH,20240207,EVENT,3.5306,False,0,0,False
300054.SZ,20240208,EVENT,8.1808,False,0,0,False
300285.SZ,20240208,EVENT,-2.7736,False,0,0,False
300463.SZ,20240208,EVENT,6.9316,False,0,0,False
300997.SZ,20240208,EVENT,15.9465,False,0,0,False
600120.SH,20240208,EVENT,2.8623,False,0,0,False
002635.SZ,20240219,EVENT,10.3078,False,0,0,False
300171.SZ,20240219,EVENT,-0.5752,False,0,0,False
300997.SZ,20240219,EVENT,11.7517,False,0,0,False
600210.SH,20240219,EVENT,0.0792,False,0,0,False
603039.SH,20240219,EVENT,2.6034,False,0,0,False
688088.SH,20240219,EVENT,-2.9683,False,0,0,False
688298.SH,20240219,EVENT,-3.466,False,0,0,False
600075.SH,20240220,EVENT,2.7139,False,0,0,False
301150.SZ,20240221,EVENT,3.7442,False,0,0,False
603096.SH,20240221,EVENT,9.17,False,0,0,False
688232.SH,20240221,EVENT,2.4755,False,0,0,False
300903.SZ,20240222,EVENT,31.2737,False,0,0,False
301225.SZ,20240222,EVENT,15.6263,False,0,0,False
301270.SZ,20240222,EVENT,6.0919,False,0,0,False
600645.SH,20240222,EVENT,0.9807,False,0,0,False
603596.SH,20240222,EVENT,0.7211,False,0,0,False
688593.SH,20240222,EVENT,5.9818,False,0,0,False
001299.SZ,20240223,EVENT,9.9431,False,0,0,False
002796.SZ,20240223,EVENT,24.4566,False,0,0,False
300135.SZ,20240223,EVENT,5.7779,False,0,0,False
