symbol,entry_date,src,net_pnl_pct,resonance_break,resonance_side,breakout_price,breakout_date
688381.SH,20230913,EVENT,-3.1863,False,,29.5,20230807
301308.SZ,20231009,EVENT,8.3273,False,,92.5,20230920
000651.SZ,20231030,EVENT,-3.6222,False,,35.61,20231010
300138.SZ,20231103,EVENT,0.7548,False,,14.55,20231011
000651.SZ,20231109,EVENT,-2.8346,False,,35.61,20231010
000651.SZ,20231101,EVENT,-3.4155,False,,35.61,20231010
603808.SH,20231221,EVENT,-7.1322,False,,9.282,20231219
601975.SH,20231226,EVENT,6.2067,False,,2.773,20231205
001323.SZ,20231228,EVENT,-1.9246,False,,30.83,20231214
600872.SH,20231229,EVENT,-2.275,False,,30.712,20231204
603688.SH,20231229,EVENT,1.9342,False,,51.553,20231228
000703.SZ,20231220,EVENT,0.3681,False,,6.798,20231121
002978.SZ,20231220,EVENT,-0.9853,False,,29.663,20231218
300993.SZ,20231222,EVENT,-2.1188,False,,10.23,20231218
688420.SH,20231229,EVENT,-2.5085,False,,24.954,20231218
600219.SH,20231215,EVENT,-2.4856,False,,2.099,20231213
002985.SZ,20231218,EVENT,-0.2539,False,,35.727,20231205
301115.SZ,20231218,EVENT,-2.0989,False,,18.66,20231130
002568.SZ,20231220,EVENT,-1.8283,False,,22.775,20231218
301305.SZ,20231220,EVENT,-1.9595,False,,18.161,20231205
603267.SH,20231228,EVENT,-5.1197,False,,50.03,20231218
603507.SH,20231229,EVENT,-1.3586,False,,14.642,20231122
605303.SH,20231212,EVENT,0.5571,False,,11.94,20231208
000651.SZ,20231215,EVENT,-0.5799,False,,33.08,20231212
002568.SZ,20231218,EVENT,-1.8487,False,,25.185,20231129
600703.SH,20231218,EVENT,-2.635,False,,13.502,20231205
002625.SZ,20231220,EVENT,2.1291,False,,13.943,20231124
301115.SZ,20231220,EVENT,-1.8339,False,,17.76,20231219
300943.SZ,20231221,EVENT,-3.032,False,,13.82,20231206
600313.SH,20231221,EVENT,-3.5146,False,,7.301,20231218
002857.SZ,20231222,EVENT,-2.1348,False,,15.93,20231218
600382.SH,20231227,EVENT,5.9081,False,,4.68,20231115
000950.SZ,20231229,EVENT,-3.9641,False,,4.99,20231220
300993.SZ,20231229,EVENT,2.4363,False,,10.05,20231226
688013.SH,20231229,EVENT,1.166,False,,18.204,20231220
000526_SZ.SZ,20231208,CONT,12.2571,,,37.36,20231128
600971_SH.SH,20231212,CONT,-4.3082,,,9.78,20231211
000404.SZ,20231220,EVENT,-2.6398,False,,5.17,20231208
000975.SZ,20231220,EVENT,6.2535,False,,14.42,20231129
300068.SZ,20231228,EVENT,9.45,False,,12.976,20231204
301367.SZ,20231229,EVENT,-1.2232,False,,60.991,20231213
000921.SZ,20240110,EVENT,4.2581,False,,22.06,20231130
603515.SH,20240110,EVENT,3.7931,False,,14.752,20231229
002570.SZ,20240117,EVENT,-4.2752,False,,3.81,20240108
301093.SZ,20240117,EVENT,-7.6494,False,,17.846,20240108
301093.SZ,20240118,EVENT,-8.6933,False,,17.846,20240108
301093.SZ,20240119,EVENT,-9.3026,False,,17.846,20240108
000818.SZ,20240126,EVENT,-2.9115,False,,27.0,20240118
600718.SH,20240126,EVENT,-2.148,False,,8.1,20240117
000498.SZ,20240129,EVENT,-0.6563,False,,4.962,20240125
300656.SZ,20240131,EVENT,-7.8417,False,,22.02,20240117
301152.SZ,20240131,EVENT,-12.6218,False,,34.38,20240118
000589.SZ,20240110,EVENT,5.0452,False,,5.492,20231219
002959.SZ,20240110,EVENT,-1.442,False,,49.072,20240105
301267.SZ,20240116,EVENT,-6.0638,False,,31.415,20231226
603612.SH,20240116,EVENT,-3.0797,False,,15.811,20231130
002570.SZ,20240118,EVENT,-2.8139,False,,3.81,20240108
603505.SH,20240125,EVENT,-4.2218,False,,17.338,20240117
301093.SZ,20240126,EVENT,-4.1244,False,,16.727,20240122
600718.SH,20240129,EVENT,-13.0675,False,,8.1,20240117
601969.SH,20240129,EVENT,-9.8095,False,,6.003,20240117
603060.SH,20240129,EVENT,-3.5138,False,,7.647,20240119
300200.SZ,20240131,EVENT,-10.0206,False,,7.89,20240117
301087.SZ,20240131,EVENT,-6.5368,False,,30.48,20240109
688018.SH,20240131,EVENT,-5.3678,False,,89.0,20240122
002624.SZ,20240102,EVENT,-13.8728,False,,11.405,20231222
603515.SH,20240102,EVENT,-5.0602,False,,14.752,20231229
300993.SZ,20240103,EVENT,0.0017,False,,10.05,20231226
688171.SH,20240105,EVENT,-6.4065,False,,16.374,20231220
002004.SZ,20240110,EVENT,-2.3178,False,,4.7,20231220
600219.SH,20240110,EVENT,-11.9983,False,,2.099,20231213
688013.SH,20240110,EVENT,-6.5313,False,,18.204,20231220
002624.SZ,20240111,EVENT,-3.8074,False,,11.405,20231222
002930.SZ,20240111,EVENT,-1.9575,False,,18.281,20240109
600351.SH,20240111,EVENT,-1.2309,False,,6.71,20240108
688093.SH,20240111,EVENT,-2.3891,False,,16.58,20231229
600703.SH,20240112,EVENT,-1.6597,False,,13.032,20240110
688257.SH,20240112,EVENT,-4.8923,False,,8.485,20231218
600487.SH,20240117,EVENT,-4.2931,False,,10.538,20240108
603822.SH,20240117,EVENT,-2.1077,False,,27.458,20231228
603882.SH,20240126,EVENT,12.6687,False,,52.66,20240125
002859.SZ,20240129,EVENT,-3.7899,False,,20.727,20240122
300148.SZ,20240129,EVENT,-5.783,False,,3.5,20240116
603727.SH,20240129,EVENT,-3.8327,False,,11.376,20240117
301265.SZ,20240130,EVENT,-6.9422,False,,9.782,20240117
001256.SZ,20240131,EVENT,-6.6015,False,,18.34,20240117
002148.SZ,20240131,EVENT,-6.3099,False,,5.75,20240110
600572.SH,20240131,EVENT,-8.8383,False,,4.428,20240110
300515.SZ,20240102,EVENT,-0.5667,False,,10.406,20231218
688093.SH,20240102,EVENT,-8.0492,False,,16.58,20231229
300097.SZ,20240104,EVENT,-8.4106,False,,11.1,20231213
603156.SH,20240104,EVENT,7.0665,False,,17.652,20231204
688093.SH,20240104,EVENT,-9.5995,False,,16.58,20231229
002385.SZ,20240105,EVENT,-2.2659,False,,6.682,20231208
600433.SH,20240105,EVENT,-6.5504,False,,3.34,20231225
603156.SH,20240108,EVENT,0.9989,False,,17.652,20231204
603258.SH,20240108,EVENT,-12.006,False,,23.955,20231222
603888.SH,20240108,EVENT,-4.4324,False,,17.428,20231225
300943.SZ,20240110,EVENT,0.5966,False,,13.82,20231229
301201.SZ,20240110,EVENT,-0.4318,False,,23.722,20240108
000498.SZ,20240115,EVENT,-1.1433,False,,5.022,20231220
300699.SZ,20240115,EVENT,-15.5158,False,,24.262,20231122
688326.SH,20240115,EVENT,-1.9777,False,,91.25,20240112
688819.SH,20240117,EVENT,-6.869,False,,25.392,20240108
002555.SZ,20240119,EVENT,-8.5328,False,,19.257,20231222
600487.SH,20240122,EVENT,-4.3172,False,,10.538,20240108
000661.SZ,20240124,EVENT,-2.0054,False,,130.589,20240108
300126.SZ,20240130,EVENT,-8.2385,False,,6.99,20240117
002166.SZ,20240131,EVENT,-4.6405,False,,7.21,20240117
300888.SZ,20240131,EVENT,-10.8532,False,,34.159,20240122
601600.SH,20240131,EVENT,-0.5276,False,,5.61,20240125
688508.SH,20240131,EVENT,-4.3168,False,,35.361,20240130
603977_SH.SH,20240109,CONT,-14.6161,,,9.89,20231229
002004.SZ,20240104,EVENT,-5.1924,False,,4.7,20231220
000534.SZ,20240105,EVENT,-8.128,False,,12.881,20231229
688420.SH,20240105,EVENT,-8.8198,False,,24.954,20231218
688093.SH,20240109,EVENT,-4.5996,False,,16.58,20231229
002555.SZ,20240117,EVENT,-5.8955,False,,19.257,20231222
603727.SH,20240131,EVENT,-10.6743,False,,11.376,20240117
002640.SZ,20240102,EVENT,-2.3567,False,,3.8,20231228
600623.SH,20240110,EVENT,-0.8113,True,EQL,5.94,20240108
600803.SH,20240110,EVENT,2.4344,False,,13.175,20231226
688349.SH,20240206,EVENT,0.5238,False,,19.973,20240105
002093.SZ,20240219,EVENT,12.5788,False,,6.32,20240131
300685.SZ,20240219,EVENT,5.3305,False,,18.476,20240207
688068.SH,20240219,EVENT,2.7463,False,,31.96,20240130
688237.SH,20240223,EVENT,4.4082,False,,26.534,20240131
301353.SZ,20240227,EVENT,-2.5242,False,,14.951,20240131
301225.SZ,20240228,EVENT,-0.4749,False,,20.059,20240227
300835.SZ,20240201,EVENT,-3.4389,False,,25.795,20240116
002266.SZ,20240207,EVENT,7.4661,False,,3.03,20240202
300054.SZ,20240207,EVENT,9.4239,False,,17.72,20240130
300171.SZ,20240207,EVENT,10.3431,False,,14.177,20240129
300285.SZ,20240207,EVENT,1.6283,False,,17.543,20240131
002008.SZ,20240208,EVENT,0.174,False,,17.22,20240131
300910.SZ,20240208,EVENT,-1.6818,False,,28.103,20240122
600109.SH,20240208,EVENT,0.1131,False,,8.481,20240207
688596.SH,20240208,EVENT,13.8809,False,,31.368,20240131
688646.SH,20240219,EVENT,5.7879,False,,27.936,20240130
300143.SZ,20240220,EVENT,0.2419,False,,6.374,20240131
001228.SZ,20240221,EVENT,9.0165,False,,26.06,20240130
002885.SZ,20240221,EVENT,10.2801,False,,14.069,20240130
301085.SZ,20240221,EVENT,19.1961,False,,45.602,20240130
002093.SZ,20240222,EVENT,9.5353,False,,6.32,20240131
603626.SH,20240222,EVENT,11.3687,False,,6.07,20240130
002312.SZ,20240223,EVENT,-1.1487,False,,6.48,20240208
003004.SZ,20240223,EVENT,20.2876,False,,22.962,20240131
603111.SH,20240223,EVENT,12.6103,False,,4.126,20240131
301366.SZ,20240226,EVENT,11.349,False,,17.357,20240130
002520.SZ,20240228,EVENT,-6.5425,False,,5.44,20240227
300100.SZ,20240228,EVENT,-0.2339,False,,8.82,20240227
301072.SZ,20240228,EVENT,13.2575,False,,20.46,20240130
002098.SZ,20240229,EVENT,9.9904,False,,5.8,20240131
300597.SZ,20240229,EVENT,11.2254,False,,7.442,20240131
301248.SZ,20240229,EVENT,18.5393,False,,13.631,20240130
688244.SH,20240229,EVENT,5.8818,False,,20.823,20240227
002180.SZ,20240202,EVENT,-4.6244,False,,18.48,20240130
300702.SZ,20240202,EVENT,-4.5123,False,,16.41,20240131
603990.SH,20240202,EVENT,-19.5712,False,,11.06,20240201
688069.SH,20240202,EVENT,-12.4038,False,,13.129,20240117
688606.SH,20240202,EVENT,-9.5947,False,,66.38,20240109
000036.SZ,20240205,EVENT,-11.794,False,,3.97,20231222
300128.SZ,20240205,EVENT,-13.5212,False,,3.49,20240131
000869.SZ,20240207,EVENT,9.3268,False,,21.28,20240201
002008.SZ,20240207,EVENT,8.8099,False,,17.22,20240131
002532.SZ,20240207,EVENT,10.4622,False,,3.99,20240202
002635.SZ,20240207,EVENT,11.1055,False,,11.29,20240129
300128.SZ,20240207,EVENT,20.3522,False,,3.49,20240131
300997.SZ,20240207,EVENT,21.5435,False,,11.838,20240202
301071.SZ,20240207,EVENT,9.6276,False,,24.968,20240202
600497.SH,20240207,EVENT,6.4053,False,,4.361,20240119
600884.SH,20240207,EVENT,4.7077,False,,10.67,20240130
601969.SH,20240207,EVENT,21.2073,False,,5.153,20240202
688739.SH,20240207,EVENT,3.5306,False,,26.039,20240131
300054.SZ,20240208,EVENT,8.1808,False,,19.3,20240207
300285.SZ,20240208,EVENT,-2.7736,False,,19.703,20240207
300463.SZ,20240208,EVENT,6.9316,False,,11.943,20240131
300997.SZ,20240208,EVENT,15.9465,False,,11.838,20240202
600120.SH,20240208,EVENT,2.8623,False,,3.039,20240205
002635.SZ,20240219,EVENT,10.3078,False,,11.29,20240129
300171.SZ,20240219,EVENT,-0.5752,False,,14.177,20240129
300997.SZ,20240219,EVENT,11.7517,False,,11.838,20240202
600210.SH,20240219,EVENT,0.0792,False,,3.28,20240202
603039.SH,20240219,EVENT,2.6034,False,,29.178,20240130
688088.SH,20240219,EVENT,-2.9683,False,,28.304,20240130
688298.SH,20240219,EVENT,-3.466,False,,29.71,20240130
600075.SH,20240220,EVENT,2.7139,False,,3.68,20240202
301150.SZ,20240221,EVENT,3.7442,False,,11.045,20240220
603096.SH,20240221,EVENT,9.17,False,,13.996,20240131
688232.SH,20240221,EVENT,2.4755,False,,23.933,20240130
300903.SZ,20240222,EVENT,31.2737,False,,7.48,20240130
301225.SZ,20240222,EVENT,15.6263,False,,18.481,20240130
301270.SZ,20240222,EVENT,6.0919,False,,29.056,20240130
600645.SH,20240222,EVENT,0.9807,False,,16.55,20240131
603596.SH,20240222,EVENT,0.7211,False,,27.818,20240208
688593.SH,20240222,EVENT,5.9818,False,,10.936,20240131
001299.SZ,20240223,EVENT,9.9431,False,,13.01,20240131
002796.SZ,20240223,EVENT,24.4566,False,,9.26,20240131
300135.SZ,20240223,EVENT,5.7779,False,,2.59,20240130
300915.SZ,20240223,EVENT,-1.0384,False,,18.892,20240130
301322.SZ,20240223,EVENT,1.6251,False,,22.44,20240131
603119.SH,20240223,EVENT,10.9629,False,,12.4,20240205
688195.SH,20240223,EVENT,9.4854,False,,21.126,20240116
300597.SZ,20240226,EVENT,2.8111,False,,7.442,20240131
300786.SZ,20240226,EVENT,7.3233,False,,17.2,20240108
300801.SZ,20240226,EVENT,2.431,False,,12.765,20240131
300828.SZ,20240226,EVENT,11.337,False,,11.294,20240131
301116.SZ,20240226,EVENT,3.793,False,,10.321,20240131
301225.SZ,20240226,EVENT,2.5283,False,,18.481,20240130
603028.SH,20240226,EVENT,5.5648,False,,8.556,20240130
603629.SH,20240226,EVENT,10.9389,False,,16.776,20240122
002796.SZ,20240227,EVENT,6.9634,False,,9.26,20240131
301085.SZ,20240227,EVENT,-3.4325,False,,45.602,20240130
301125.SZ,20240227,EVENT,17.01,False,,7.457,20240131
301158.SZ,20240227,EVENT,3.2037,False,,9.545,20240131
