symbol,entry_date,src,net_pnl_pct,tp,sl,v23_weight_v2,v23_flags_v2
688381.SH,20230913,EVENT,-3.1863,35.67,23.932,1.0,none
301308.SZ,20231009,EVENT,8.3273,95.48,81.05,0.0392,s1v2_CHoCH↑;s7v2_up;s19;s10_in_ob;s12_in_ote
000651.SZ,20231030,EVENT,-3.6222,37.33,32.784,0.1848,s17;s10_in_ob;s5;s6x1;s14
300138.SZ,20231103,EVENT,0.7548,15.96,12.748,0.55,s17;s14
000651.SZ,20231109,EVENT,-2.8346,34.42,32.849,0.6336,s17;s10_in_ob;s5;s6x3
000651.SZ,20231101,EVENT,-3.4155,37.33,32.827,0.264,s17;s10_in_ob;s5;s14
603808.SH,20231221,EVENT,-7.1322,9.872,8.758,0.105,s15;s8_sweep_bear;s13;s14
601975.SH,20231226,EVENT,6.2067,2.963,2.552,0.1225,s15;s6x1;s13;s14
001323.SZ,20231228,EVENT,-1.9246,33.18,29.266,0.231,s17;s5;s6x1;s14
600872.SH,20231229,EVENT,-2.275,33.552,22.932,0.7,s13
603688.SH,20231229,EVENT,1.9342,58.843,41.381,0.924,s17;s6x3;s13
000703.SZ,20231220,EVENT,0.3681,7.008,6.317,0.0123,s1v2_CHoCH↑;s7v2_up;s19;s12_in_ote;s5;s6x3;s13;s14
002978.SZ,20231220,EVENT,-0.9853,32.403,29.35,0.0147,s1v2_CHoCH↑;s7v2_up;s19;s12_in_ote;s5;s14
300993.SZ,20231222,EVENT,-2.1188,11.63,10.109,0.096,s1v2_CHoCH↓;s10_in_ob;s5;s14
688420.SH,20231229,EVENT,-2.5085,27.504,24.591,0.3105,s17;s10_in_ob;s12_in_ote;s5;s6x3;s13
600219.SH,20231215,EVENT,-2.4856,2.409,2.075,0.231,s17;s5;s6x1;s14
002985.SZ,20231218,EVENT,-0.2539,39.327,30.168,0.098,s1v2_CHoCH↓;s9_bsl_tight;s6x1;s14
301115.SZ,20231218,EVENT,-2.0989,19.23,17.614,0.1109,s1v2_CHoCH↓;s17;s9_bsl_tight;s5;s6x3;s14
002568.SZ,20231220,EVENT,-1.8283,26.495,22.461,0.396,s17;s5;s6x3;s14
301305.SZ,20231220,EVENT,-1.9595,19.051,16.962,0.0347,s24_eql_risk;s17;s5;s6x1;s14
603267.SH,20231228,EVENT,-5.1197,57.81,44.872,0.1584,s1v2_CHoCH↓;s17;s5;s6x3;s14
603507.SH,20231229,EVENT,-1.3586,15.259,12.45,0.4312,s17;s10_in_ob;s6x1;s13
605303.SH,20231212,EVENT,0.5571,12.41,11.821,0.0621,s1v2_CHoCH↓;s17;s8_sweep_bear;s9_bsl_tight;s10_in_ob;s5;s6x1
000651.SZ,20231215,EVENT,-0.5799,33.26,31.996,0.144,s15;s10_in_ob;s5;s6x3;s14
002568.SZ,20231218,EVENT,-1.8487,27.295,22.474,0.1056,s1v2_CHoCH↓;s17;s10_in_ob;s5;s14
600703.SH,20231218,EVENT,-2.635,15.382,13.0,0.3168,s17;s10_in_ob;s5;s6x3;s14
002625.SZ,20231220,EVENT,2.1291,14.753,12.886,0.0147,s1v2_CHoCH↑;s7v2_up;s19;s12_in_ote;s5;s14
301115.SZ,20231220,EVENT,-1.8339,19.23,17.613,0.1584,s1v2_CHoCH↓;s17;s5;s6x3;s14
