symbol,entry_date,src,net_pnl_pct
000009_SZ.SZ,20250908,CONT,-2.4031
000544_SZ.SZ,20240514,CONT,2.0248
000752_SZ.SZ,20250815,CONT,0.8476
000758_SZ.SZ,20250718,CONT,6.4787
000791_SZ.SZ,20240517,CONT,0.2478
000791_SZ.SZ,20240520,CONT,-8.366
000792_SZ.SZ,20260121,CONT,-4.5817
000803_SZ.SZ,20250818,CONT,1.9368
000812_SZ.SZ,20241114,CONT,10.2444
000823_SZ.SZ,20250811,CONT,7.0197
000908_SZ.SZ,20240815,CONT,62.6906
000912_SZ.SZ,20241014,CONT,0.7091
000975_SZ.SZ,20240520,CONT,-6.2204
001228_SZ.SZ,20241128,CONT,4.7333
002019_SZ.SZ,20240514,CONT,-4.5478
002107_SZ.SZ,20250710,CONT,10.6414
002110_SZ.SZ,20241118,CONT,-0.745
002156_SZ.SZ,20250829,CONT,4.1492
002271_SZ.SZ,20260129,CONT,7.8
002309_SZ.SZ,20250624,CONT,8.5719
002344_SZ.SZ,20241115,CONT,13.4259
002358_SZ.SZ,20260123,CONT,6.4104
002413_SZ.SZ,20250703,CONT,0.5168
002432_SZ.SZ,20260310,CONT,20.916
002460_SZ.SZ,20250905,CONT,30.1713
002479_SZ.SZ,20241014,CONT,7.3294
002569_SZ.SZ,20240520,CONT,-3.7294
002656_SZ.SZ,20250213,CONT,1.1636
002674_SZ.SZ,20250818,CONT,4.6426
002768_SZ.SZ,20250716,CONT,20.0801
002768_SZ.SZ,20250717,CONT,6.747
002860_SZ.SZ,20241212,CONT,-1.4043
002887_SZ.SZ,20260226,CONT,4.755
002908_SZ.SZ,20250707,CONT,3.2991
002925_SZ.SZ,20241218,CONT,-0.2703
300019_SZ.SZ,20241118,CONT,-5.0555
300035_SZ.SZ,20250829,CONT,15.9567
300049_SZ.SZ,20250716,CONT,18.7419
300084_SZ.SZ,20260302,CONT,-3.0278
300131_SZ.SZ,20231127,CONT,-1.4308
300263_SZ.SZ,20250729,CONT,-2.4142
300510_SZ.SZ,20250818,CONT,-21.0475
300686_SZ.SZ,20250820,CONT,7.1609
300708_SZ.SZ,20260305,CONT,-7.9807
300739_SZ.SZ,20250715,CONT,7.3585
300747_SZ.SZ,20250708,CONT,8.9011
300748_SZ.SZ,20250718,CONT,3.7526
300750_SZ.SZ,20240326,CONT,3.9663
300767_SZ.SZ,20250730,CONT,18.2806
300855_SZ.SZ,20250811,CONT,10.4137
300861_SZ.SZ,20250905,CONT,-5.2231
301127_SZ.SZ,20240612,CONT,3.7085
301363_SZ.SZ,20250821,CONT,23.9652
600096_SH.SH,20251106,CONT,10.2816
600107_SH.SH,20250829,CONT,17.9979
600111_SH.SH,20250718,CONT,19.887
600115_SH.SH,20251103,CONT,11.2583
600233_SH.SH,20240320,CONT,8.6873
600233_SH.SH,20240321,CONT,2.9572
600377_SH.SH,20240220,CONT,0.0799
600389_SH.SH,20250516,CONT,15.6323
600452_SH.SH,20250821,CONT,-16.6183
600487_SH.SH,20250829,CONT,-1.2728
600490_SH.SH,20250901,CONT,7.674
600499_SH.SH,20250519,CONT,6.2105
600499_SH.SH,20250520,CONT,-0.4638
600628_SH.SH,20241126,CONT,22.2764
600639_SH.SH,20240201,CONT,-3.4543
600722_SH.SH,20241120,CONT,25.7179
600761_SH.SH,20250924,CONT,-6.2179
600792_SH.SH,20250718,CONT,1.6717
600819_SH.SH,20241113,CONT,7.38
600938_SH.SH,20260302,CONT,4.2894
600971_SH.SH,20231212,CONT,-4.3082
600977_SH.SH,20250905,CONT,33.8063
600981_SH.SH,20231212,CONT,-9.897
601061_SH.SH,20251021,CONT,29.6106
601089_SH.SH,20250717,CONT,29.3342
601117_SH.SH,20260312,CONT,-6.3401
601199_SH.SH,20240520,CONT,-5.4572
601231_SH.SH,20250819,CONT,1.0892
601606_SH.SH,20241014,CONT,5.3575
601615_SH.SH,20250825,CONT,2.6932
601717_SH.SH,20250319,CONT,2.0551
601727_SH.SH,20241021,CONT,79.2996
601728_SH.SH,20250221,CONT,2.9517
601789_SH.SH,20241114,CONT,0.4881
601789_SH.SH,20241115,CONT,-1.3062
601825_SH.SH,20240522,CONT,-11.4053
601899_SH.SH,20240314,CONT,5.8412
601899_SH.SH,20250905,CONT,5.104
603035_SH.SH,20250923,CONT,13.3405
603111_SH.SH,20250917,CONT,4.4561
603167_SH.SH,20250620,CONT,12.4667
603181_SH.SH,20250826,CONT,12.5635
603217_SH.SH,20251014,CONT,3.7724
603268_SH.SH,20250818,CONT,2.8126
603285_SH.SH,20250911,CONT,-16.7533
603338_SH.SH,20241205,CONT,2.165
603586_SH.SH,20250611,CONT,2.5877
603610_SH.SH,20241219,CONT,-11.0941
603612_SH.SH,20250729,CONT,10.3106
603685_SH.SH,20250728,CONT,4.7498
603726_SH.SH,20250708,CONT,-4.2771
603976_SH.SH,20250728,CONT,5.2511
605050_SH.SH,20241126,CONT,7.9032
605228_SH.SH,20250725,CONT,13.2626
605599_SH.SH,20250520,CONT,38.5903
688125_SH.SH,20250811,CONT,4.3977
688161_SH.SH,20250908,CONT,6.9681
688362_SH.SH,20250812,CONT,12.1243
688371_SH.SH,20250818,CONT,31.2798
688718_SH.SH,20250718,CONT,12.4225
