leg,symbol,entry_date,buy_date,buy_price,sell_date,sell_price,reason,hold_bars,tp,sl,risk_pct,net_pnl_pct,mfe_pct,mae_pct,mfe_r,mae_r,rr_exit,signal_chain,r20,rank
SMC,000006.SZ,20241011,20241015,5.17,20241017,6.182,TP_STRUCTURAL,2,6.182,4.495,13.06,19.3841,22.82,10.25,1.75,0.79,1.5,sweep:20231130|OB:20240927|POI:20241009|confirm:20241010|W:W1_PROTECTED_LOW,0.2494,
SMC,000007.SZ,20240709,20240711,5.39,20240729,5.19,TIME_STOP,12,6.526,4.633,14.05,-3.9106,4.27,-7.24,0.3,-0.51,-0.26,sweep:20231120|OB:20240702|POI:20240705|confirm:20240708|W:W1_PROTECTED_LOW,0.176344,
SMC,000009.SZ,20241106,20241108,10.34,20241126,9.182,SL_HIT,12,12.077,9.182,11.2,-11.4013,7.25,-11.22,0.65,-1.0,-1.0,sweep:20240528|OB:20241030|POI:20241104|confirm:20241105|W:W1_PROTECTED_LOW,-0.001932,
SMC,000011.SZ,20240813,20240815,8.3,20240816,7.704,SL_HIT,1,9.39,7.704,7.18,-7.3816,-3.49,-8.19,-0.49,-1.14,-1.0,sweep:20240617|OB:20240807|POI:20240809|confirm:20240812|W:W1_PROTECTED_LOW,0.135389,
SMC,000017.SZ,20251201,20251203,8.01,20251219,8.32,TIME_STOP,12,9.762,6.842,14.58,3.6702,11.11,-7.62,0.76,-0.52,0.27,sweep:20240513|OB:20251119|POI:20251127|confirm:20251128|W:W1_PROTECTED_LOW,0.140533,
SMC,000019.SZ,20250423,20250425,6.97,20250516,6.78,TIME_STOP,12,8.063,6.241,10.45,-2.926,-0.29,-5.88,-0.03,-0.56,-0.26,sweep:20241104|OB:20250407|POI:20250421|confirm:20250422|W:W1_PROTECTED_LOW,0.088235,
SMC,000020.SZ,20240910,20240912,12.31,20240927,14.805,TP_STRUCTURAL,9,14.805,10.646,13.51,20.071,22.58,-5.2,1.67,-0.38,1.5,sweep:20240513|OB:20240903|POI:20240906|confirm:20240909|W:W1_PROTECTED_LOW,0.298227,
SMC,000020.SZ,20260825,20260827,11.85,20260908,13.7,TIME_STOP,8,13.74,11.064,6.63,15.4118,15.61,3.04,2.35,0.46,2.35,sweep:20260611|OB:20260818|POI:20260821|confirm:20260824|W:W1_PROTECTED_LOW,0.217822,
SMC,000026.SZ,20260424,20260428,18.0,20260508,19.831,TP_STRUCTURAL,5,19.831,16.78,6.78,9.9696,12.22,-2.22,1.8,-0.33,1.5,sweep:20260116|OB:20260420|POI:20260422|confirm:20260423|W:W1_PROTECTED_LOW,0.259749,
SMC,000027.SZ,20240115,20240117,6.26,20240118,6.02,SL_HIT,1,6.62,6.02,3.83,-4.0339,-1.92,-6.07,-0.5,-1.58,-1.0,sweep:20231011|OB:20231228|POI:20240108|confirm:20240112|W:W1_PROTECTED_LOW,0.001597,
SMC,000048.SZ,20240401,20240403,17.29,20240415,16.106,SL_HIT,6,19.066,16.106,6.85,-7.0495,2.6,-7.52,0.38,-1.1,-1.0,sweep:20240311|OB:20240320|POI:20240328|confirm:20240329|W:W1_PROTECTED_LOW,-0.009164,
SMC,000048.SZ,20250409,20250411,16.77,20250418,15.22,SL_HIT,5,19.094,15.22,9.24,-9.4406,-2.39,-9.36,-0.26,-1.01,-1.0,sweep:20250113|OB:20250328|POI:20250407|confirm:20250408|W:W1_PROTECTED_LOW,0.053571,
SMC,000050.SZ,20241021,20241023,7.65,20241030,8.885,TP_STRUCTURAL,5,8.885,6.827,10.76,15.9415,21.31,1.57,1.98,0.15,1.5,sweep:20240626|OB:20240927|POI:20241017|confirm:20241018|W:W1_WEEKLY_SSL_CHOCH,0.112738,
SMC,000063.SZ,20241021,20241023,31.14,20241108,31.85,TIME_STOP,12,36.014,27.89,10.44,2.08,8.9,-4.95,0.85,-0.47,0.22,sweep:20231206|OB:20240925|POI:20241011|confirm:20241018|W:W1_PROTECTED_LOW,0.298024,
SMC,000068.SZ,20240911,20240913,3.17,20241008,3.993,TP_STRUCTURAL,10,3.993,2.621,17.32,25.7745,27.13,-8.83,1.57,-0.51,1.5,sweep:20240625|OB:20240823|POI:20240909|confirm:20240910|W:W1_PROTECTED_LOW,0.204545,
SMC,000078.SZ,20260416,20260420,3.86,20260424,3.299,SL_HIT,4,4.701,3.299,14.53,-14.7263,1.3,-15.03,0.09,-1.03,-1.0,sweep:20260213|OB:20260408|POI:20260414|confirm:20260415|W:W1_PROTECTED_LOW,0.236923,
