leg_id,symbol,entry_date,src,pnl,year,month,trend_own,hold,risk_pct,mfe,mae,p_valid,trend,timing,tpsl,direction,trend_conf,timing_conf,tpsl_conf,direction_conf
301308.SZ|20231009|1,301308.SZ,20231009,EVENT,8.3273,2023,202310,up,2,6.817,17.268337548861812,6.438261669349266,0.4,mild_up,1.47,tp_sys_ok,unknown,0.38,0.25,0.37,0.36
688381.SH|20230913|0,688381.SH,20230913,EVENT,-3.1863,2023,202309,down,12,14.155,1.5122819100091833,-6.020431588613406,0.33,strong_down,1.69,tp_sys_ok,down,0.57,0.55,0.6,0.55
300138.SZ|20231103|3,300138.SZ,20231103,EVENT,0.7548,2023,202311,down,12,7.822,2.386117136659438,-1.0845986984815648,0.34,strong_down,1.7,tp_sys_ok,down,0.64,0.56,0.63,0.53
000651.SZ|20231101|5,000651.SZ,20231101,EVENT,-3.4155,2023,202311,down,8,3.022,1.68389955686854,-4.519940915805021,0.35,mild_down,2.01,tp_sys_ok,down,0.4,0.73,0.66,0.64
600872.SH|20231229|9,600872.SH,20231229,EVENT,-2.275,2023,202312,down,12,12.828,2.4546230025682236,-8.569360624155141,0.3,strong_down,1.78,tp_sys_ok,down,0.57,0.62,0.51,0.61
601975.SH|20231226|7,601975.SH,20231226,EVENT,6.2067,2023,202312,down,5,7.043,7.931096030627227,0.28157521846667866,0.38,strong_down,2.01,tp_sys_ok,down,0.6,0.52,0.54,0.59
000651.SZ|20231030|2,000651.SZ,20231030,EVENT,-3.6222,2023,202310,down,10,3.229,1.6004581171150445,-4.598291506532304,0.35,mild_down,1.96,tp_sys_ok,down,0.48,0.72,0.67,0.53
000703.SZ|20231220|11,000703.SZ,20231220,EVENT,0.3681,2023,202312,down,12,2.792,2.923976608187129,-2.6161895967990123,0.33,mild_down,1.82,tp_sys_ok,down,0.42,0.65,0.6,0.68
603808.SH|20231221|6,603808.SH,20231221,EVENT,-7.1322,2023,202312,up,2,6.746,4.0459965928449915,-10.221465076660973,0.62,mild_up,2.73,tp_sys_ok,up,0.63,0.73,0.85,0.42
600219.SH|20231215|15,600219.SH,20231215,EVENT,-2.4856,2023,202312,down,1,2.09,-0.9438414346389812,-3.7753657385559247,0.34,strong_down,2.1,tp_sys_ok,down,0.63,0.44,0.49,0.59
