symbol,entry_date,src,year,month,combo,sub_signals,rank,board,buy_date,buy_price,sell_date,sell_price,net_pnl_pct,hold_bars,reason,tp,sl,risk_pct,mfe_pct,mae_pct,rr_exit,trend_state,breakout_date,breakout_price,breakout_kind,retrace_price,retrace_state,retrace_signal,stage_span,adx_span,last_event_kind,last_event_date,events_tail,j_p_valid,j_trend,j_trend_conf,j_timing,j_timing_conf,j_tpsl,j_tpsl_conf,j_direction,j_direction_conf
688381.SH,20230913,EVENT,2023,202309,insider-event,"[{""name"": ""披露日"", ""date"": ""20230912"", ""detail"": ""帝奥微:中信建投证券股份有限公司关于江苏帝奥微电子股份有限公司使用部分超募资金回""}, {""name"": ""入场(T+1)"", ""date"": ""20230913"", ""detail"": ""次日开盘/回踩0.99限价""}]",4,KCB,20230913,27.878,20231009,27.1,-3.1863,12,TIME_STOP,35.67,23.932,14.155,1.5122819100091833,-6.020431588613406,-0.197,down,20230807,29.5,BOS↓,29.25,no_retrace,尚未反抽,10,31,BOS↓,20230807,"[{""date"": ""20230711"", ""kind"": ""CHoCH↑"", ""level"": 34.06}, {""date"": ""20230724"", ""kind"": ""CHoCH↓"", ""level"": 31.77}, {""date"": ""20230807"", ""kind"": ""BOS↓"", ""level"": 29.5}]",0.33,strong_down,0.57,1.69,0.55,tp_sys_ok,0.6,down,0.55
301308.SZ,20231009,EVENT,2023,202310,insider-event,"[{""name"": ""披露日"", ""date"": ""20230928"", ""detail"": ""江波龙:关于实际控制人、控股股东及部分董事、高级管理人员增持公司股份计划的补充公""}, {""name"": ""入场(T+1)"", ""date"": ""20231009"", ""detail"": ""次日开盘/回踩0.99限价""}]",4,CYB,20231009,86.98,20231011,95.48,8.3273,2,TP2_RUNNER,95.48,81.05,6.817,17.268337548861812,6.438261669349266,1.433,up,20230920,92.5,BOS↑,85.7,retrace_fail,回踩跌破(突破失败),21,38,BOS↑,20230920,"[{""date"": ""20230828"", ""kind"": ""CHoCH↓"", ""level"": 73.56}, {""date"": ""20230904"", ""kind"": ""CHoCH↑"", ""level"": 80.38}, {""date"": ""20230920"", ""kind"": ""BOS↑"", ""level"": 92.5}]",0.4,mild_up,0.38,1.47,0.25,tp_sys_ok,0.37,unknown,0.36
000651.SZ,20231030,EVENT,2023,202310,insider-event,"[{""name"": ""披露日"", ""date"": ""20231027"", ""detail"": ""格力电器:关于收到董事长提议回购公司股份的提示性公告""}, {""name"": ""入场(T+1)"", ""date"": ""20231030"", ""detail"": ""次日开盘/回踩0.99限价""}]",3,SZ_MAIN,20231030,33.878,20231113,32.784,-3.6222,10,SL_HIT,37.33,32.784,3.229,1.6004581171150445,-4.598291506532304,-1.0,down,20231010,35.61,CHoCH↓,35.81,retrace_ok,反抽受限(延续下跌),24,9,CHoCH↓,20231010,"[{""date"": ""20230821"", ""kind"": ""BOS↓"", ""level"": 34.96}, {""date"": ""20230901"", ""kind"": ""CHoCH↑"", ""level"": 36.5}, {""date"": ""20231010"", ""kind"": ""CHoCH↓"", ""level"": 35.61}]",0.35,mild_down,0.48,1.96,0.72,tp_sys_ok,0.67,down,0.53
000651.SZ,20231101,EVENT,2023,202311,insider-event,"[{""name"": ""披露日"", ""date"": ""20231031"", ""detail"": ""格力电器:关于回购部分社会公众股份方案的公告暨回购报告书""}, {""name"": ""入场(T+1)"", ""date"": ""20231101"", ""detail"": ""次日开盘/回踩0.99限价""}]",3,SZ_MAIN,20231101,33.85,20231113,32.827,-3.4155,8,SL_HIT,37.33,32.827,3.022,1.68389955686854,-4.519940915805021,-1.0,down,20231010,35.61,CHoCH↓,35.81,retrace_ok,反抽受限(延续下跌),26,11,CHoCH↓,20231010,"[{""date"": ""20230821"", ""kind"": ""BOS↓"", ""level"": 34.96}, {""date"": ""20230901"", ""kind"": ""CHoCH↑"", ""level"": 36.5}, {""date"": ""20231010"", ""kind"": ""CHoCH↓"", ""level"": 35.61}]",0.35,mild_down,0.4,2.01,0.73,tp_sys_ok,0.66,down,0.64
300138.SZ,20231103,EVENT,2023,202311,insider-event,"[{""name"": ""披露日"", ""date"": ""20231102"", ""detail"": ""晨光生物:关于回购公司股份方案的公告""}, {""name"": ""入场(T+1)"", ""date"": ""20231103"", ""detail"": ""次日开盘/回踩0.99限价""}]",6,CYB,20231103,13.83,20231121,13.99,0.7548,12,TIME_STOP,15.96,12.748,7.822,2.386117136659438,-1.0845986984815648,0.148,down,20231011,14.55,BOS↓,14.45,no_retrace,尚未反抽,7,16,BOS↓,20231011,"[{""date"": ""20230821"", ""kind"": ""BOS↓"", ""level"": 15.47}, {""date"": ""20230908"", ""kind"": ""BOS↓"", ""level"": 15.18}, {""date"": ""20231011"", ""kind"": ""BOS↓"", ""level"": 14.55}]",0.34,strong_down,0.64,1.7,0.56,tp_sys_ok,0.63,down,0.53
000651.SZ,20231109,EVENT,2023,202311,insider-event,"[{""name"": ""披露日"", ""date"": ""20231108"", ""detail"": ""格力电器:关于首次实施第四期回购部分社会公众股份的公告""}, {""name"": ""入场(T+1)"", ""date"": ""20231109"", ""detail"": ""次日开盘/回踩0.99限价""}]",5,SZ_MAIN,20231109,33.67,20231113,32.849,-2.8346,2,SL_HIT,34.42,32.849,2.44,0.08910008910010259,-4.009504009504017,-1.0,down,20231010,35.61,CHoCH↓,35.81,retrace_ok,反抽受限(延续下跌),32,17,CHoCH↓,20231010,"[{""date"": ""20230821"", ""kind"": ""BOS↓"", ""level"": 34.96}, {""date"": ""20230901"", ""kind"": ""CHoCH↑"", ""level"": 36.5}, {""date"": ""20231010"", ""kind"": ""CHoCH↓"", ""level"": 35.61}]",0.33,mild_down,0.41,1.95,0.72,tp_sys_ok,0.63,down,0.58
000526_SZ.SZ,20231208,CONT,2023,202312,,,3,SZ_MAIN,,,,,12.2571,,,,,,,,,up,20231128,37.36,CHoCH↑,38.32,no_retrace,尚未回踩,,,CHoCH↑,20231128,"[{""date"": ""20231025"", ""kind"": ""BOS↑"", ""level"": 37.52}, {""date"": ""20231110"", ""kind"": ""CHoCH↓"", ""level"": 36.15}, {""date"": ""20231128"", ""kind"": ""CHoCH↑"", ""level"": 37.36}]",0.36,mild_up,0.57,0.75,0.65,tp_sys_ok,0.85,unknown,0.35
600971_SH.SH,20231212,CONT,2023,202312,,,3,SH_MAIN,,,,,-4.3082,,,,,,,,,up,20231211,9.78,BOS↑,,no_retrace,尚未回踩,,,BOS↑,20231211,"[{""date"": ""20231110"", ""kind"": ""CHoCH↑"", ""level"": 7.94}, {""date"": ""20231123"", ""kind"": ""BOS↑"", ""level"": 8.38}, {""date"": ""20231211"", ""kind"": ""BOS↑"", ""level"": 9.78}]",0.36,strong_up,0.72,0.92,0.59,tp_sys_ok,0.88,up,0.44
605303.SH,20231212,EVENT,2023,202312,insider-event,"[{""name"": ""披露日"", ""date"": ""20231211"", ""detail"": ""园林股份:关于收到公司实际控制人、董事长提议回购公司股份的提示性公告""}, {""name"": ""入场(T+1)"", ""date"": ""20231212"", ""detail"": ""次日开盘/回踩0.99限价""}]",3,SH_MAIN,20231212,11.89,20231225,11.89,0.5571,9,BE,12.41,11.821,0.583,4.121110176619003,-1.5979814970563555,0.0,down,20231208,11.94,CHoCH↓,12.04,retrace_ok,反抽受限(延续下跌),1,19,CHoCH↓,20231208,"[{""date"": ""20231123"", ""kind"": ""BOS↑"", ""level"": 12.2}, {""date"": ""20231204"", ""kind"": ""BOS↑"", ""level"": 12.27}, {""date"": ""20231208"", ""kind"": ""CHoCH↓"", ""level"": 11.94}]",0.36,mild_down,0.68,1.96,0.64,tp_sys_ok,0.58,down,0.65
000651.SZ,20231215,EVENT,2023,202312,insider-event,"[{""name"": ""披露日"", ""date"": ""20231214"", ""detail"": ""格力电器:2023-049关于回购股份比例达到1%暨回购进展公告""}, {""name"": ""入场(T+1)"", ""date"": ""20231215"", ""detail"": ""次日开盘/回踩0.99限价""}]",3,SZ_MAIN,20231215,33.25,20231219,33.16,-0.5799,2,SL_GAP,33.26,31.996,3.771,0.39097744360903075,-1.834586466165411,-0.072,up,20231212,33.08,CHoCH↑,32.82,retrace_ok,回踩到位(接多窗口),58,21,CHoCH↑,20231212,"[{""date"": ""20231010"", ""kind"": ""CHoCH↓"", ""level"": 35.61}, {""date"": ""20231113"", ""kind"": ""BOS↓"", ""level"": 33.11}, {""date"": ""20231212"", ""kind"": ""CHoCH↑"", ""level"": 33.08}]",0.65,mild_up,0.59,2.75,0.75,tp_sys_ok,0.88,up,0.39
