symbol,entry_date,src,net_pnl_pct,rank,buy_date,buy_price,sell_date,sell_price,reason,hold_bars,tp,sl,risk_pct,mfe_pct,mae_pct,mfe_r,mae_r,rr_exit,signal_chain,r20
301308.SZ,20231009,EVENT,8.3273,0,20231009,86.98,20231011,95.48,TP2_RUNNER,2,95.48,81.05,6.817,17.268337548861812,6.438261669349266,2.5330361982774225,0.9444076371740041,1.433,insider-event,
000651.SZ,20231030,EVENT,-3.6222,0,20231030,33.878,20231113,32.784,SL_HIT,10,37.33,32.784,3.229,1.6004581171150445,-4.598291506532304,0.49567068472398035,-1.4241161797547328,-1.0,insider-event,
000651.SZ,20231101,EVENT,-3.4155,0,20231101,33.85,20231113,32.827,SL_HIT,8,37.33,32.827,3.022,1.68389955686854,-4.519940915805021,0.5572625698324039,-1.4958100558659235,-1.0,insider-event,
000651.SZ,20231109,EVENT,-2.8346,0,20231109,33.67,20231113,32.849,SL_HIT,2,34.42,32.849,2.44,0.08910008910010259,-4.009504009504017,0.03652173913044009,-1.6434782608695582,-1.0,insider-event,
300138.SZ,20231103,EVENT,0.827,0,20231103,13.83,20231124,14.0,TIME_STOP,15,15.96,12.748,7.822,2.4584237165582,-1.0845986984815648,0.3142951469131716,-0.1386596236381647,0.157,insider-event,
000526_SZ.SZ,20231208,CONT,12.2571,3,,,,,,,,,,,,,,,,
600971_SH.SH,20231212,CONT,-4.3082,3,,,,,,,,,,,,,,,,
601086.SH,20231212,EVENT,-1.2365,0,20231212,5.112,20231220,5.069,SL_HIT,6,5.582,5.069,0.838,4.694835680751175,-3.325508607198746,5.600000000000022,-3.9666666666666783,-1.0,insider-event,
605303.SH,20231212,EVENT,0.5571,0,20231212,11.89,20231225,11.89,BE,9,12.41,11.821,0.583,4.121110176619003,-1.5979814970563555,7.072164948453453,-2.742268041237066,0.0,insider-event,
002321.SZ,20231212,EVENT,-0.4937,0,20231212,2.445,20231214,2.44,SL_GAP,2,2.54,2.378,2.758,1.8279965648386742,-1.0346378767431386,0.6627833086210586,-0.3751323872061012,-0.079,insider-event,
002625.SZ,20231212,EVENT,-4.4558,0,20231212,14.407,20231218,13.822,SL_HIT,4,14.583,13.822,4.064,-0.308659327418348,-6.4166019432974615,-0.07594680381283307,-1.578829361836053,-1.0,insider-event,
601717.SH,20231212,EVENT,0.4771,0,20231212,8.861,20231215,8.861,BE,3,9.32,7.881,11.05,3.7187517634444944,-1.1342475029625931,0.33654337199970735,-0.10264828189975975,0.0,insider-event,
600703.SH,20231214,EVENT,-4.8591,0,20231214,13.612,20231221,13.004,SL_HIT,5,15.382,13.004,4.468,0.2938583602703382,-4.5548045841904194,0.06576629477392591,-1.0193775689958915,-1.0,insider-event,
002985.SZ,20231218,EVENT,-6.7947,0,20231218,33.568,20240109,31.417,TIME_STOP,15,39.327,30.168,10.127,3.601860466224771,-7.807839208434952,0.355660977176907,-0.770974819416797,-0.633,insider-event,
301115.SZ,20231218,EVENT,-2.0989,0,20231218,17.919,20231221,17.614,SL_HIT,3,19.23,17.614,1.703,0.34042078240972273,-3.007980356046658,0.19995317255911477,-1.766799344415838,-1.0,insider-event,
600703.SH,20231218,EVENT,-2.635,0,20231218,13.298,20231221,13.0,SL_HIT,3,15.382,13.0,2.24,1.3861064486436758,-2.298746849074418,0.6188913831808007,-1.0263819336518352,-1.0,insider-event,
002568.SZ,20231218,EVENT,-1.8487,0,20231218,22.805,20231219,22.474,SL_HIT,1,27.295,22.474,1.452,-0.21771875472765823,-1.8840455784236987,-0.1499644020625247,-1.2977282043537273,-1.0,insider-event,
600219.SH,20231215,EVENT,-2.4856,0,20231215,2.119,20231218,2.075,SL_HIT,1,2.409,2.075,2.09,-0.9438414346389812,-3.7753657385559247,-0.45161290322580927,-1.806451612903237,-1.0,insider-event,
000651.SZ,20231215,EVENT,-0.5799,0,20231215,33.25,20231219,33.16,SL_GAP,2,33.26,31.996,3.771,0.39097744360903075,-1.834586466165411,0.10367416690401791,-0.486471090857304,-0.072,insider-event,
601975.SH,20231226,EVENT,6.2067,0,20231226,2.745,20240103,2.963,TP2_RUNNER,5,2.963,2.552,7.043,7.931096030627227,0.28157521846667866,1.1261425014223536,0.039981084535870126,1.126,insider-event,
300993.SZ,20231222,EVENT,-2.1188,0,20231222,10.286,20231225,10.109,SL_HIT,1,11.63,10.109,1.722,-0.05930333168063795,-2.5869863213462962,-0.03442993065635762,-1.5019351717465006,-1.0,insider-event,
002857.SZ,20231222,EVENT,-2.1348,0,20231222,16.008,20231225,15.73,SL_GAP,1,18.58,15.737,1.694,-0.6765240531474426,-2.862889875876895,-0.3993993993994034,-1.6901638480585734,-1.026,insider-event,
