symbol,entry_date,exit_date,net_pnl_pct,reason,hold_bars,entry_price,exit_price,sl_price,tp1_price,rr_realized,mfe_r,mae_r,event_date,zone_date,event_type,poi_type,story,market_state,trend_regime,trend_reason,signal_type,v88_combo,v83_takeover_type,v85_reason,v85_path,mtf_score,weekly_state,daily_state,m60_state,risk_pct,entry_semantic,sample_class,t1_violation
000014.SZ,20230719,20230720,6.3898,TIME_STOP,1.0,11.894,12.404,11.6853,12.654,3.5773,17.9205,1.5333,20230714,20230717,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,RECOVERY,UP_CONTINUATION,HH_HL_CLOSE_UP,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NOT_MIXED,CONTINUATION_EXPANDED_HOLD_ABOVE_POI,2,BULL_CONTINUATION,BULL_CONTINUATION,BEAR_RISK,1.7547,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000029.SZ,20230920,20230921,2.4962,RUNNER_TRAIL,1.0,11.71,11.9078,11.5122,11.98,1.4525,2.1739,-3.64,20230915,20230918,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,ACCUMULATION,UP_CONTINUATION,HH_HL_CLOSE_UP,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NOT_MIXED,CONTINUATION_EXPANDED_HOLD_ABOVE_POI,2,BULL_CONTINUATION,RECOVERY,BEAR_RISK,1.6892,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000030.SZ,20250811,20250813,-2.5004,SL_HIT,2.0,6.01,5.8597,5.8597,6.28,-0.9999975308641965,0.7985,-1.1313,20250806,20250807,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,BULL_CONTINUATION,UP_CONTINUATION,HH_HL_CLOSE_UP,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NOT_MIXED,CONTINUATION_EXPANDED_HOLD_ABOVE_POI,1,BEAR_RISK,BULL_CONTINUATION,BEAR_RISK,2.5004,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000035.SZ,20240315,20240318,4.2206,RUNNER_TRAIL,1.0,4.157,4.2275,4.0865,4.317,2.4452,4.3972,0.9929,20240311,20240313,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,MIXED,UP_CONTINUATION,V85_EXPANDED_BOS_PULLBACK,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NARROW_POI_HOLD_ABOVE_IN_MIXED,MIXED_ACCUMULATION_HOLD_ABOVE_POI,2,MIXED,BULL_CONTINUATION,BEAR_RISK,1.6959,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000039.SZ,20250717,20250718,3.1152,RUNNER_TRAIL,1.0,7.92,8.0392,7.8008,8.08,2.0387,5.2013,0.0,20250714,20250715,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,BULL_CONTINUATION,UP_CONTINUATION,HH_HL_CLOSE_UP,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NOT_MIXED,CONTINUATION_EXPANDED_HOLD_ABOVE_POI,3,RECOVERY,MIXED,BULL_CONTINUATION,1.5051,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000039.SZ,20250612,20250613,3.4037,TIME_STOP,1.0,7.591,8.14,7.4585,7.7235,1.9163,7.1623,-0.7925,20250609,20250610,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,MIXED,UP_CONTINUATION,V85_EXPANDED_BOS_PULLBACK,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NARROW_POI_HOLD_ABOVE_IN_MIXED,MIXED_ACCUMULATION_HOLD_ABOVE_POI,3,RECOVERY,RECOVERY,BULL_CONTINUATION,1.7455,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000045.SZ,20260109,20260112,3.4245,RUNNER_TRAIL,1.0,12.277,12.4926,12.0614,12.4926,1.9157,6.0993,-1.3219,20260106,20260107,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,RECOVERY,UP_CONTINUATION,HH_HL_CLOSE_UP,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NOT_MIXED,CONTINUATION_EXPANDED_HOLD_ABOVE_POI,3,RECOVERY,BULL_CONTINUATION,BULL_CONTINUATION,1.7561,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000049.SZ,20241205,20241206,2.2605,RUNNER_TRAIL,1.0,24.145,24.5493,23.7407,24.5493,1.3274,2.189,-0.507,20241202,20241203,SSL_SWEEP_CHOCH_REVERSAL,DEMAND_OB,DOWN_REVERSAL_SSL_SWEEP_CHOCH_PULLBACK_TO_POI_RECLAIM,MIXED,DOWN_REVERSAL_REQUIRED,LH_LL_NEEDS_SSL_CHOCH,SSL_SWEEP_CHOCH_REVERSAL,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NARROW_POI_HOLD_ABOVE_IN_MIXED,MIXED_ACCUMULATION_HOLD_ABOVE_POI,3,MIXED,RECOVERY,BULL_CONTINUATION,1.6745,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000153.SZ,20240315,20240318,4.7018,RUNNER_TRAIL,1.0,5.221,5.3102,5.1318,5.457,2.751951112334809,3.1277,0.3251,20240312,20240313,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,MIXED,UP_CONTINUATION,V85_EXPANDED_BOS_PULLBACK,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NARROW_POI_HOLD_ABOVE_IN_MIXED,MIXED_ACCUMULATION_HOLD_ABOVE_POI,3,MIXED,BULL_CONTINUATION,BULL_CONTINUATION,1.7085,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000158.SZ,20260226,20260227,6.1063,RUNNER_TRAIL,1.0,20.143,20.4527,19.8333,21.373,3.911,3.9716,0.1292,20260213,20260224,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,MIXED,UP_CONTINUATION,V85_EXPANDED_BOS_PULLBACK,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NARROW_POI_HOLD_ABOVE_IN_MIXED,MIXED_ACCUMULATION_HOLD_ABOVE_POI,3,MIXED,RECOVERY,BULL_CONTINUATION,1.5375,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
